riskId,supplierVendorCode,riskType,riskScore,riskDescription,mitigationPlan,riskStatus
RISK-6da0a105,SUP-aff7db91,Country Risk,15.0,Country Risk for supplier SUP-aff7db91 is 15.,N/A,Active
RISK-1eb4e541,SUP-aff7db91,Single Sourcing Risk,0.0,Single Sourcing Risk for supplier SUP-aff7db91 is 0.,N/A,Active
RISK-09e527e9,SUP-aff7db91,Financial Health Risk,0.0,Financial Health Risk for supplier SUP-aff7db91 is 0.,N/A,Active
RISK-1e97e92a,SUP-aff7db91,Spend Concentration Risk,0.0,Spend Concentration Risk for supplier SUP-aff7db91 is 0.,N/A,Active
RISK-0a034331,SUP-f1e94c05,Country Risk,15.0,Country Risk for supplier SUP-f1e94c05 is 15.,N/A,Active
RISK-1b9e54bb,SUP-f1e94c05,Single Sourcing Risk,0.0,Single Sourcing Risk for supplier SUP-f1e94c05 is 0.,N/A,Active
RISK-df33d89d,SUP-f1e94c05,Financial Health Risk,25.0,Financial Health Risk for supplier SUP-f1e94c05 is 25.,N/A,Active
RISK-b1c64319,SUP-f1e94c05,Spend Concentration Risk,0.0,Spend Concentration Risk for supplier SUP-f1e94c05 is 0.,N/A,Active
RISK-52629e4f,SUP-9be461f4,Country Risk,15.0,Country Risk for supplier SUP-9be461f4 is 15.,N/A,Active
RISK-4943ce8b,SUP-9be461f4,Single Sourcing Risk,0.0,Single Sourcing Risk for supplier SUP-9be461f4 is 0.,N/A,Active
RISK-08499ded,SUP-9be461f4,Financial Health Risk,10.0,Financial Health Risk for supplier SUP-9be461f4 is 10.,N/A,Active
RISK-08d62d91,SUP-9be461f4,Spend Concentration Risk,0.0,Spend Concentration Risk for supplier SUP-9be461f4 is 0.,N/A,Active
RISK-2a4f98dc,SUP-d9ee32f7,Country Risk,15.0,Country Risk for supplier SUP-d9ee32f7 is 15.,N/A,Active
RISK-79687b8f,SUP-d9ee32f7,Single Sourcing Risk,0.0,Single Sourcing Risk for supplier SUP-d9ee32f7 is 0.,N/A,Active
RISK-b2054e5b,SUP-d9ee32f7,Financial Health Risk,0.0,Financial Health Risk for supplier SUP-d9ee32f7 is 0.,N/A,Active
RISK-59b96965,SUP-d9ee32f7,Spend Concentration Risk,0.0,Spend Concentration Risk for supplier SUP-d9ee32f7 is 0.,N/A,Active
RISK-eb3f0c29,SUP-7c874ae3,Country Risk,15.0,Country Risk for supplier SUP-7c874ae3 is 15.,N/A,Active
RISK-69b64750,SUP-7c874ae3,Single Sourcing Risk,0.0,Single Sourcing Risk for supplier SUP-7c874ae3 is 0.,N/A,Active
RISK-600a8632,SUP-7c874ae3,Financial Health Risk,0.0,Financial Health Risk for supplier SUP-7c874ae3 is 0.,N/A,Active
RISK-daecc457,SUP-7c874ae3,Spend Concentration Risk,0.0,Spend Concentration Risk for supplier SUP-7c874ae3 is 0.,N/A,Active
RISK-b4787209,SUP-0ad5b00c,Country Risk,15.0,Country Risk for supplier SUP-0ad5b00c is 15.,N/A,Active
RISK-f01bcf1a,SUP-0ad5b00c,Single Sourcing Risk,0.0,Single Sourcing Risk for supplier SUP-0ad5b00c is 0.,N/A,Active
RISK-59fb8f0e,SUP-0ad5b00c,Financial Health Risk,10.0,Financial Health Risk for supplier SUP-0ad5b00c is 10.,N/A,Active
RISK-e7ee1307,SUP-0ad5b00c,Spend Concentration Risk,0.0,Spend Concentration Risk for supplier SUP-0ad5b00c is 0.,N/A,Active
RISK-74509e0b,SUP-fb469ef4,Country Risk,15.0,Country Risk for supplier SUP-fb469ef4 is 15.,N/A,Active
RISK-619f8167,SUP-fb469ef4,Single Sourcing Risk,0.0,Single Sourcing Risk for supplier SUP-fb469ef4 is 0.,N/A,Active
RISK-28a67a42,SUP-fb469ef4,Financial Health Risk,25.0,Financial Health Risk for supplier SUP-fb469ef4 is 25.,N/A,Active
RISK-c16a0e48,SUP-fb469ef4,Spend Concentration Risk,0.0,Spend Concentration Risk for supplier SUP-fb469ef4 is 0.,N/A,Active
RISK-50783258,SUP-9ccc86ff,Country Risk,0.0,Country Risk for supplier SUP-9ccc86ff is 0.,N/A,Active
RISK-e2c3b7bb,SUP-9ccc86ff,Single Sourcing Risk,0.0,Single Sourcing Risk for supplier SUP-9ccc86ff is 0.,N/A,Active
RISK-d9f74722,SUP-9ccc86ff,Financial Health Risk,0.0,Financial Health Risk for supplier SUP-9ccc86ff is 0.,N/A,Active
RISK-0cebaac7,SUP-9ccc86ff,Spend Concentration Risk,0.0,Spend Concentration Risk for supplier SUP-9ccc86ff is 0.,N/A,Active
RISK-16b7bf94,SUP-657ae49c,Country Risk,30.0,Country Risk for supplier SUP-657ae49c is 30.,N/A,Active
RISK-a924d670,SUP-657ae49c,Single Sourcing Risk,0.0,Single Sourcing Risk for supplier SUP-657ae49c is 0.,N/A,Active
RISK-1d339fb1,SUP-657ae49c,Financial Health Risk,0.0,Financial Health Risk for supplier SUP-657ae49c is 0.,N/A,Active
RISK-eacd52a0,SUP-657ae49c,Spend Concentration Risk,0.0,Spend Concentration Risk for supplier SUP-657ae49c is 0.,N/A,Active
RISK-52588f31,SUP-4bc6d876,Country Risk,0.0,Country Risk for supplier SUP-4bc6d876 is 0.,N/A,Active
RISK-32031b3a,SUP-4bc6d876,Single Sourcing Risk,0.0,Single Sourcing Risk for supplier SUP-4bc6d876 is 0.,N/A,Active
RISK-bceb0e4b,SUP-4bc6d876,Financial Health Risk,0.0,Financial Health Risk for supplier SUP-4bc6d876 is 0.,N/A,Active
RISK-52a6393e,SUP-4bc6d876,Spend Concentration Risk,0.0,Spend Concentration Risk for supplier SUP-4bc6d876 is 0.,N/A,Active
RISK-876a5556,SUP-5d1146c8,Country Risk,0.0,Country Risk for supplier SUP-5d1146c8 is 0.,N/A,Active
RISK-e1991729,SUP-5d1146c8,Single Sourcing Risk,0.0,Single Sourcing Risk for supplier SUP-5d1146c8 is 0.,N/A,Active
RISK-9c400650,SUP-5d1146c8,Financial Health Risk,10.0,Financial Health Risk for supplier SUP-5d1146c8 is 10.,N/A,Active
RISK-99b95591,SUP-5d1146c8,Spend Concentration Risk,0.0,Spend Concentration Risk for supplier SUP-5d1146c8 is 0.,N/A,Active
RISK-ad03ad59,SUP-34c21a15,Country Risk,15.0,Country Risk for supplier SUP-34c21a15 is 15.,N/A,Active
RISK-459ff44c,SUP-34c21a15,Single Sourcing Risk,0.0,Single Sourcing Risk for supplier SUP-34c21a15 is 0.,N/A,Active
RISK-7b70399e,SUP-34c21a15,Financial Health Risk,0.0,Financial Health Risk for supplier SUP-34c21a15 is 0.,N/A,Active
RISK-8f53a803,SUP-34c21a15,Spend Concentration Risk,0.0,Spend Concentration Risk for supplier SUP-34c21a15 is 0.,N/A,Active
RISK-3546aa38,SUP-122f9bcf,Country Risk,15.0,Country Risk for supplier SUP-122f9bcf is 15.,N/A,Active
RISK-2ef41ad9,SUP-122f9bcf,Single Sourcing Risk,0.0,Single Sourcing Risk for supplier SUP-122f9bcf is 0.,N/A,Active
RISK-4b2e7d59,SUP-122f9bcf,Financial Health Risk,0.0,Financial Health Risk for supplier SUP-122f9bcf is 0.,N/A,Active
RISK-37dc9818,SUP-122f9bcf,Spend Concentration Risk,0.0,Spend Concentration Risk for supplier SUP-122f9bcf is 0.,N/A,Active
RISK-8fed24b9,SUP-1de8ee68,Country Risk,15.0,Country Risk for supplier SUP-1de8ee68 is 15.,N/A,Active
RISK-3c73d065,SUP-1de8ee68,Single Sourcing Risk,0.0,Single Sourcing Risk for supplier SUP-1de8ee68 is 0.,N/A,Active
RISK-773f44d3,SUP-1de8ee68,Financial Health Risk,0.0,Financial Health Risk for supplier SUP-1de8ee68 is 0.,N/A,Active
RISK-e03a4889,SUP-1de8ee68,Spend Concentration Risk,0.0,Spend Concentration Risk for supplier SUP-1de8ee68 is 0.,N/A,Active
RISK-ae1c3427,SUP-4ec4e9dc,Country Risk,0.0,Country Risk for supplier SUP-4ec4e9dc is 0.,N/A,Active
RISK-9ccafe38,SUP-4ec4e9dc,Single Sourcing Risk,0.0,Single Sourcing Risk for supplier SUP-4ec4e9dc is 0.,N/A,Active
RISK-2fb79ef2,SUP-4ec4e9dc,Financial Health Risk,0.0,Financial Health Risk for supplier SUP-4ec4e9dc is 0.,N/A,Active
RISK-c6a3768b,SUP-4ec4e9dc,Spend Concentration Risk,0.0,Spend Concentration Risk for supplier SUP-4ec4e9dc is 0.,N/A,Active
RISK-ca5f6789,SUP-a1b769f6,Country Risk,15.0,Country Risk for supplier SUP-a1b769f6 is 15.,N/A,Active
RISK-7aa8c8fa,SUP-a1b769f6,Single Sourcing Risk,0.0,Single Sourcing Risk for supplier SUP-a1b769f6 is 0.,N/A,Active
RISK-25d563b0,SUP-a1b769f6,Financial Health Risk,0.0,Financial Health Risk for supplier SUP-a1b769f6 is 0.,N/A,Active
RISK-d09bdd44,SUP-a1b769f6,Spend Concentration Risk,0.0,Spend Concentration Risk for supplier SUP-a1b769f6 is 0.,N/A,Active
RISK-8d76798b,SUP-fbd94e2f,Country Risk,15.0,Country Risk for supplier SUP-fbd94e2f is 15.,N/A,Active
RISK-193e071d,SUP-fbd94e2f,Single Sourcing Risk,0.0,Single Sourcing Risk for supplier SUP-fbd94e2f is 0.,N/A,Active
RISK-b9f88597,SUP-fbd94e2f,Financial Health Risk,10.0,Financial Health Risk for supplier SUP-fbd94e2f is 10.,N/A,Active
RISK-be99723d,SUP-fbd94e2f,Spend Concentration Risk,0.0,Spend Concentration Risk for supplier SUP-fbd94e2f is 0.,N/A,Active
RISK-7f6abbd4,SUP-9d604aae,Country Risk,15.0,Country Risk for supplier SUP-9d604aae is 15.,N/A,Active
RISK-b0b6082a,SUP-9d604aae,Single Sourcing Risk,0.0,Single Sourcing Risk for supplier SUP-9d604aae is 0.,N/A,Active
RISK-10679faa,SUP-9d604aae,Financial Health Risk,25.0,Financial Health Risk for supplier SUP-9d604aae is 25.,N/A,Active
RISK-0e8b4642,SUP-9d604aae,Spend Concentration Risk,0.0,Spend Concentration Risk for supplier SUP-9d604aae is 0.,N/A,Active
RISK-3cd4dd86,SUP-f90572fe,Country Risk,0.0,Country Risk for supplier SUP-f90572fe is 0.,N/A,Active
RISK-2982c84e,SUP-f90572fe,Single Sourcing Risk,0.0,Single Sourcing Risk for supplier SUP-f90572fe is 0.,N/A,Active
RISK-5524ae3b,SUP-f90572fe,Financial Health Risk,0.0,Financial Health Risk for supplier SUP-f90572fe is 0.,N/A,Active
RISK-0bc9dcb3,SUP-f90572fe,Spend Concentration Risk,0.0,Spend Concentration Risk for supplier SUP-f90572fe is 0.,N/A,Active
RISK-250a0690,SUP-9f4c8b97,Country Risk,15.0,Country Risk for supplier SUP-9f4c8b97 is 15.,N/A,Active
RISK-d90f721e,SUP-9f4c8b97,Single Sourcing Risk,0.0,Single Sourcing Risk for supplier SUP-9f4c8b97 is 0.,N/A,Active
RISK-4e3d8c8d,SUP-9f4c8b97,Financial Health Risk,0.0,Financial Health Risk for supplier SUP-9f4c8b97 is 0.,N/A,Active
RISK-016364f7,SUP-9f4c8b97,Spend Concentration Risk,0.0,Spend Concentration Risk for supplier SUP-9f4c8b97 is 0.,N/A,Active
RISK-74440bd9,SUP-4f08dfa6,Country Risk,0.0,Country Risk for supplier SUP-4f08dfa6 is 0.,N/A,Active
RISK-f3ff1276,SUP-4f08dfa6,Single Sourcing Risk,0.0,Single Sourcing Risk for supplier SUP-4f08dfa6 is 0.,N/A,Active
RISK-79780eee,SUP-4f08dfa6,Financial Health Risk,0.0,Financial Health Risk for supplier SUP-4f08dfa6 is 0.,N/A,Active
RISK-c1a2bed1,SUP-4f08dfa6,Spend Concentration Risk,0.0,Spend Concentration Risk for supplier SUP-4f08dfa6 is 0.,N/A,Active
RISK-019f4818,SUP-804a3fff,Country Risk,30.0,Country Risk for supplier SUP-804a3fff is 30.,N/A,Active
RISK-13c6bb8d,SUP-804a3fff,Single Sourcing Risk,0.0,Single Sourcing Risk for supplier SUP-804a3fff is 0.,N/A,Active
RISK-91722f48,SUP-804a3fff,Financial Health Risk,10.0,Financial Health Risk for supplier SUP-804a3fff is 10.,N/A,Active
RISK-a74a56f3,SUP-804a3fff,Spend Concentration Risk,0.0,Spend Concentration Risk for supplier SUP-804a3fff is 0.,N/A,Active
RISK-059648e0,SUP-ee9bcb83,Country Risk,15.0,Country Risk for supplier SUP-ee9bcb83 is 15.,N/A,Active
RISK-b40d8e93,SUP-ee9bcb83,Single Sourcing Risk,0.0,Single Sourcing Risk for supplier SUP-ee9bcb83 is 0.,N/A,Active
RISK-1adc0a72,SUP-ee9bcb83,Financial Health Risk,0.0,Financial Health Risk for supplier SUP-ee9bcb83 is 0.,N/A,Active
RISK-b640b02d,SUP-ee9bcb83,Spend Concentration Risk,0.0,Spend Concentration Risk for supplier SUP-ee9bcb83 is 0.,N/A,Active
RISK-927225ca,SUP-06835418,Country Risk,15.0,Country Risk for supplier SUP-06835418 is 15.,N/A,Active
RISK-60344823,SUP-06835418,Single Sourcing Risk,0.0,Single Sourcing Risk for supplier SUP-06835418 is 0.,N/A,Active
RISK-8afc28bc,SUP-06835418,Financial Health Risk,0.0,Financial Health Risk for supplier SUP-06835418 is 0.,N/A,Active
RISK-9d584826,SUP-06835418,Spend Concentration Risk,0.0,Spend Concentration Risk for supplier SUP-06835418 is 0.,N/A,Active
RISK-f5356add,SUP-587182ce,Country Risk,15.0,Country Risk for supplier SUP-587182ce is 15.,N/A,Active
RISK-0d1f628e,SUP-587182ce,Single Sourcing Risk,0.0,Single Sourcing Risk for supplier SUP-587182ce is 0.,N/A,Active
RISK-1374ceec,SUP-587182ce,Financial Health Risk,0.0,Financial Health Risk for supplier SUP-587182ce is 0.,N/A,Active
RISK-d447029c,SUP-587182ce,Spend Concentration Risk,0.0,Spend Concentration Risk for supplier SUP-587182ce is 0.,N/A,Active
RISK-d5d679a1,SUP-340ae111,Country Risk,15.0,Country Risk for supplier SUP-340ae111 is 15.,N/A,Active
RISK-a54c5889,SUP-340ae111,Single Sourcing Risk,0.0,Single Sourcing Risk for supplier SUP-340ae111 is 0.,N/A,Active
RISK-3541ac85,SUP-340ae111,Financial Health Risk,25.0,Financial Health Risk for supplier SUP-340ae111 is 25.,N/A,Active
RISK-571f74dd,SUP-340ae111,Spend Concentration Risk,0.0,Spend Concentration Risk for supplier SUP-340ae111 is 0.,N/A,Active
RISK-1607a78f,SUP-ca5ec489,Country Risk,15.0,Country Risk for supplier SUP-ca5ec489 is 15.,N/A,Active
RISK-3e62afa9,SUP-ca5ec489,Single Sourcing Risk,0.0,Single Sourcing Risk for supplier SUP-ca5ec489 is 0.,N/A,Active
RISK-1b1533ab,SUP-ca5ec489,Financial Health Risk,0.0,Financial Health Risk for supplier SUP-ca5ec489 is 0.,N/A,Active
RISK-34a0218f,SUP-ca5ec489,Spend Concentration Risk,0.0,Spend Concentration Risk for supplier SUP-ca5ec489 is 0.,N/A,Active
RISK-d0d2e93e,SUP-c2a5676a,Country Risk,0.0,Country Risk for supplier SUP-c2a5676a is 0.,N/A,Active
RISK-2e70f903,SUP-c2a5676a,Single Sourcing Risk,0.0,Single Sourcing Risk for supplier SUP-c2a5676a is 0.,N/A,Active
RISK-19f2fcf2,SUP-c2a5676a,Financial Health Risk,0.0,Financial Health Risk for supplier SUP-c2a5676a is 0.,N/A,Active
RISK-63e06e40,SUP-c2a5676a,Spend Concentration Risk,0.0,Spend Concentration Risk for supplier SUP-c2a5676a is 0.,N/A,Active
RISK-3b745b68,SUP-470b7c4e,Country Risk,0.0,Country Risk for supplier SUP-470b7c4e is 0.,N/A,Active
RISK-7ec0e8b2,SUP-470b7c4e,Single Sourcing Risk,0.0,Single Sourcing Risk for supplier SUP-470b7c4e is 0.,N/A,Active
RISK-15787b55,SUP-470b7c4e,Financial Health Risk,0.0,Financial Health Risk for supplier SUP-470b7c4e is 0.,N/A,Active
RISK-819325cb,SUP-470b7c4e,Spend Concentration Risk,0.0,Spend Concentration Risk for supplier SUP-470b7c4e is 0.,N/A,Active
RISK-39ba44aa,SUP-cab4b7f2,Country Risk,15.0,Country Risk for supplier SUP-cab4b7f2 is 15.,N/A,Active
RISK-879f21b2,SUP-cab4b7f2,Single Sourcing Risk,0.0,Single Sourcing Risk for supplier SUP-cab4b7f2 is 0.,N/A,Active
RISK-0625ea8a,SUP-cab4b7f2,Financial Health Risk,10.0,Financial Health Risk for supplier SUP-cab4b7f2 is 10.,N/A,Active
RISK-82482641,SUP-cab4b7f2,Spend Concentration Risk,0.0,Spend Concentration Risk for supplier SUP-cab4b7f2 is 0.,N/A,Active
RISK-f85130f7,SUP-6fd9b4a6,Country Risk,0.0,Country Risk for supplier SUP-6fd9b4a6 is 0.,N/A,Active
RISK-082af6fc,SUP-6fd9b4a6,Single Sourcing Risk,0.0,Single Sourcing Risk for supplier SUP-6fd9b4a6 is 0.,N/A,Active
RISK-595ed3a9,SUP-6fd9b4a6,Financial Health Risk,10.0,Financial Health Risk for supplier SUP-6fd9b4a6 is 10.,N/A,Active
RISK-c40e7f37,SUP-6fd9b4a6,Spend Concentration Risk,0.0,Spend Concentration Risk for supplier SUP-6fd9b4a6 is 0.,N/A,Active
RISK-576b9fb5,SUP-98ddc5bb,Country Risk,15.0,Country Risk for supplier SUP-98ddc5bb is 15.,N/A,Active
RISK-6dd7bd47,SUP-98ddc5bb,Single Sourcing Risk,0.0,Single Sourcing Risk for supplier SUP-98ddc5bb is 0.,N/A,Active
RISK-3dcae5c2,SUP-98ddc5bb,Financial Health Risk,0.0,Financial Health Risk for supplier SUP-98ddc5bb is 0.,N/A,Active
RISK-7dfa1734,SUP-98ddc5bb,Spend Concentration Risk,0.0,Spend Concentration Risk for supplier SUP-98ddc5bb is 0.,N/A,Active
RISK-b69428dd,SUP-09be9878,Country Risk,15.0,Country Risk for supplier SUP-09be9878 is 15.,N/A,Active
RISK-b0927efa,SUP-09be9878,Single Sourcing Risk,0.0,Single Sourcing Risk for supplier SUP-09be9878 is 0.,N/A,Active
RISK-debe1d74,SUP-09be9878,Financial Health Risk,10.0,Financial Health Risk for supplier SUP-09be9878 is 10.,N/A,Active
RISK-82c1927a,SUP-09be9878,Spend Concentration Risk,0.0,Spend Concentration Risk for supplier SUP-09be9878 is 0.,N/A,Active
RISK-ca706201,SUP-c2b881af,Country Risk,0.0,Country Risk for supplier SUP-c2b881af is 0.,N/A,Active
RISK-b2beb5b5,SUP-c2b881af,Single Sourcing Risk,0.0,Single Sourcing Risk for supplier SUP-c2b881af is 0.,N/A,Active
RISK-6e2e64cf,SUP-c2b881af,Financial Health Risk,25.0,Financial Health Risk for supplier SUP-c2b881af is 25.,N/A,Active
RISK-38e95ab0,SUP-c2b881af,Spend Concentration Risk,0.0,Spend Concentration Risk for supplier SUP-c2b881af is 0.,N/A,Active
RISK-9e3d43a8,SUP-963dd8a4,Country Risk,0.0,Country Risk for supplier SUP-963dd8a4 is 0.,N/A,Active
RISK-c38dca55,SUP-963dd8a4,Single Sourcing Risk,0.0,Single Sourcing Risk for supplier SUP-963dd8a4 is 0.,N/A,Active
RISK-e80063b3,SUP-963dd8a4,Financial Health Risk,0.0,Financial Health Risk for supplier SUP-963dd8a4 is 0.,N/A,Active
RISK-eeadf6c0,SUP-963dd8a4,Spend Concentration Risk,0.0,Spend Concentration Risk for supplier SUP-963dd8a4 is 0.,N/A,Active
RISK-519836ca,SUP-8a6fa90f,Country Risk,15.0,Country Risk for supplier SUP-8a6fa90f is 15.,N/A,Active
RISK-b0ef9b8a,SUP-8a6fa90f,Single Sourcing Risk,0.0,Single Sourcing Risk for supplier SUP-8a6fa90f is 0.,N/A,Active
RISK-bfa08dbd,SUP-8a6fa90f,Financial Health Risk,0.0,Financial Health Risk for supplier SUP-8a6fa90f is 0.,N/A,Active
RISK-80017d24,SUP-8a6fa90f,Spend Concentration Risk,0.0,Spend Concentration Risk for supplier SUP-8a6fa90f is 0.,N/A,Active
RISK-cbb14d5f,SUP-7f4fa930,Country Risk,15.0,Country Risk for supplier SUP-7f4fa930 is 15.,N/A,Active
RISK-5319a9a6,SUP-7f4fa930,Single Sourcing Risk,0.0,Single Sourcing Risk for supplier SUP-7f4fa930 is 0.,N/A,Active
RISK-c6c060bc,SUP-7f4fa930,Financial Health Risk,0.0,Financial Health Risk for supplier SUP-7f4fa930 is 0.,N/A,Active
RISK-0ba0b6e2,SUP-7f4fa930,Spend Concentration Risk,0.0,Spend Concentration Risk for supplier SUP-7f4fa930 is 0.,N/A,Active
RISK-60bc20fd,SUP-1f6b4735,Country Risk,15.0,Country Risk for supplier SUP-1f6b4735 is 15.,N/A,Active
RISK-16f6e05b,SUP-1f6b4735,Single Sourcing Risk,0.0,Single Sourcing Risk for supplier SUP-1f6b4735 is 0.,N/A,Active
RISK-7248533f,SUP-1f6b4735,Financial Health Risk,25.0,Financial Health Risk for supplier SUP-1f6b4735 is 25.,N/A,Active
RISK-fcf1b5c9,SUP-1f6b4735,Spend Concentration Risk,0.0,Spend Concentration Risk for supplier SUP-1f6b4735 is 0.,N/A,Active
RISK-e35bc259,SUP-2c37132c,Country Risk,15.0,Country Risk for supplier SUP-2c37132c is 15.,N/A,Active
RISK-91805cd4,SUP-2c37132c,Single Sourcing Risk,0.0,Single Sourcing Risk for supplier SUP-2c37132c is 0.,N/A,Active
RISK-6144b7c7,SUP-2c37132c,Financial Health Risk,0.0,Financial Health Risk for supplier SUP-2c37132c is 0.,N/A,Active
RISK-d0fe266c,SUP-2c37132c,Spend Concentration Risk,0.0,Spend Concentration Risk for supplier SUP-2c37132c is 0.,N/A,Active
RISK-c72d927f,SUP-f7052c42,Country Risk,15.0,Country Risk for supplier SUP-f7052c42 is 15.,N/A,Active
RISK-f46a2d98,SUP-f7052c42,Single Sourcing Risk,0.0,Single Sourcing Risk for supplier SUP-f7052c42 is 0.,N/A,Active
RISK-8c810c66,SUP-f7052c42,Financial Health Risk,0.0,Financial Health Risk for supplier SUP-f7052c42 is 0.,N/A,Active
RISK-cd23c3cf,SUP-f7052c42,Spend Concentration Risk,0.0,Spend Concentration Risk for supplier SUP-f7052c42 is 0.,N/A,Active
RISK-001774d3,SUP-068fb3c1,Country Risk,15.0,Country Risk for supplier SUP-068fb3c1 is 15.,N/A,Active
RISK-28768212,SUP-068fb3c1,Single Sourcing Risk,0.0,Single Sourcing Risk for supplier SUP-068fb3c1 is 0.,N/A,Active
RISK-5143780a,SUP-068fb3c1,Financial Health Risk,0.0,Financial Health Risk for supplier SUP-068fb3c1 is 0.,N/A,Active
RISK-22b3aa19,SUP-068fb3c1,Spend Concentration Risk,0.0,Spend Concentration Risk for supplier SUP-068fb3c1 is 0.,N/A,Active
RISK-4132a922,SUP-d8ddf706,Country Risk,15.0,Country Risk for supplier SUP-d8ddf706 is 15.,N/A,Active
RISK-4bc306c9,SUP-d8ddf706,Single Sourcing Risk,0.0,Single Sourcing Risk for supplier SUP-d8ddf706 is 0.,N/A,Active
RISK-04bcb061,SUP-d8ddf706,Financial Health Risk,0.0,Financial Health Risk for supplier SUP-d8ddf706 is 0.,N/A,Active
RISK-0dc61ab0,SUP-d8ddf706,Spend Concentration Risk,0.0,Spend Concentration Risk for supplier SUP-d8ddf706 is 0.,N/A,Active
RISK-86b0f41f,SUP-90d82a36,Country Risk,15.0,Country Risk for supplier SUP-90d82a36 is 15.,N/A,Active
RISK-be01537b,SUP-90d82a36,Single Sourcing Risk,0.0,Single Sourcing Risk for supplier SUP-90d82a36 is 0.,N/A,Active
RISK-4995579e,SUP-90d82a36,Financial Health Risk,25.0,Financial Health Risk for supplier SUP-90d82a36 is 25.,N/A,Active
RISK-69055cc1,SUP-90d82a36,Spend Concentration Risk,0.0,Spend Concentration Risk for supplier SUP-90d82a36 is 0.,N/A,Active
RISK-e2730b0d,SUP-075e9bbb,Country Risk,30.0,Country Risk for supplier SUP-075e9bbb is 30.,N/A,Active
RISK-0b2e0c3c,SUP-075e9bbb,Single Sourcing Risk,10.0,Single Sourcing Risk for supplier SUP-075e9bbb is 10.0.,N/A,Active
RISK-812d5c05,SUP-075e9bbb,Financial Health Risk,0.0,Financial Health Risk for supplier SUP-075e9bbb is 0.,N/A,Active
RISK-9e2f7323,SUP-075e9bbb,Spend Concentration Risk,0.0,Spend Concentration Risk for supplier SUP-075e9bbb is 0.,N/A,Active
RISK-040783cf,SUP-f1d17ae6,Country Risk,15.0,Country Risk for supplier SUP-f1d17ae6 is 15.,N/A,Active
RISK-e9329fff,SUP-f1d17ae6,Single Sourcing Risk,0.0,Single Sourcing Risk for supplier SUP-f1d17ae6 is 0.,N/A,Active
RISK-065a6fe4,SUP-f1d17ae6,Financial Health Risk,25.0,Financial Health Risk for supplier SUP-f1d17ae6 is 25.,N/A,Active
RISK-d44d5931,SUP-f1d17ae6,Spend Concentration Risk,0.0,Spend Concentration Risk for supplier SUP-f1d17ae6 is 0.,N/A,Active
