invoiceNumber,po_id,amount,issue_date,due_date,paid_date,status,late_payment_flag,supplierReference,glAccount,costCenter,invoiceText,postingDate
INV-883c9bd0,PO-0449ed302f,297.4,2024-06-17T08:15:48,2024-08-16T08:15:48,2024-08-03T08:15:48,paid,False,3027967427777,GL-1175,CC-125,Invoice for PO PO-0449ed302f,2024-06-22 08:15:48
INV-24a2f0c4,PO-0518725570,27651.46,2024-10-29T08:34:44,2025-01-27T08:34:44,2025-01-24T08:34:44,paid,False,7649632716441,GL-1192,CC-167,Invoice for PO PO-0518725570,2024-11-06 08:34:44
INV-8af0086d,PO-0518725570,32231.57,2024-10-26T08:34:44,2025-01-24T08:34:44,2025-01-10T08:34:44,paid,False,5142383387141,GL-1167,CC-167,Invoice for PO PO-0518725570,2024-11-02 08:34:44
INV-316901b9,PO-0547185404,7000.0,2024-08-31T04:56:51,2024-09-30T04:56:51,2024-09-29T04:56:51,paid,False,2573038272735,GL-1081,CC-MKT-DY_B2S_2024_001,Invoice for PO PO-0547185404,2024-09-02 04:56:51
INV-ceecc985,PO-05b74516cc,12908.92,2024-10-21T08:23:03,2024-11-20T08:23:03,2024-11-08T08:23:03,paid,False,5979899072663,GL-1117,CC-113,Invoice for PO PO-05b74516cc,2024-10-29 08:23:03
INV-5e413009,PO-05d0ebb094,120645.02,2023-10-19T08:26:10,2024-01-17T08:26:10,2024-01-08T08:26:10,paid,False,5390504186399,GL-1074,CC-103,Invoice for PO PO-05d0ebb094,2023-10-27 08:26:10
INV-6bf76394,PO-05d0ebb094,109858.02,2023-10-21T08:26:10,2024-01-19T08:26:10,,overdue,False,8422476015166,GL-1026,CC-103,Invoice for PO PO-05d0ebb094,2023-10-22 08:26:10
INV-e74d04fa,PO-05e29aa007,3300.0,2024-12-30T06:26:10,2025-01-29T06:26:10,2025-01-14T06:26:10,paid,False,1558867594808,GL-1093,CC-MKT-DY_WIN_2024_001,Invoice for PO PO-05e29aa007,2024-12-31 06:26:10
INV-eabb65ee,PO-0696c7ae63,46265.51,2024-02-04T08:33:37,2024-03-05T08:33:37,2024-02-24T08:33:37,paid,False,7238673929684,GL-1200,CC-153,Invoice for PO PO-0696c7ae63,2024-02-10 08:33:37
INV-bc23393e,PO-0696c7ae63,43971.33,2024-02-02T08:33:37,2024-03-03T08:33:37,2024-02-28T08:33:37,paid,False,6977993673846,GL-1194,CC-153,Invoice for PO PO-0696c7ae63,2024-02-07 08:33:37
INV-31e8ddd7,PO-0696c7ae63,49580.48,2024-02-02T08:33:37,2024-03-03T08:33:37,2024-02-26T08:33:37,paid,False,8081117307772,GL-1058,CC-153,Invoice for PO PO-0696c7ae63,2024-02-12 08:33:37
INV-80433767,PO-06a17674a9,64062.35,2025-12-21T08:11:49,2026-02-19T08:11:49,2026-02-10T08:11:49,paid,False,6536978886611,GL-1071,CC-116,Invoice for PO PO-06a17674a9,2025-12-29 08:11:49
INV-494abbf5,PO-06a17674a9,66167.71,2025-12-20T08:11:49,2026-02-18T08:11:49,2026-02-16T08:11:49,paid,False,4068402717298,GL-1130,CC-116,Invoice for PO PO-06a17674a9,2025-12-29 08:11:49
INV-bce9ae46,PO-06a17674a9,58877.87,2025-12-20T08:11:49,2026-02-18T08:11:49,2026-02-06T08:11:49,paid,False,9272562363935,GL-1078,CC-116,Invoice for PO PO-06a17674a9,2025-12-24 08:11:49
INV-892bbc41,PO-06a8d876f3,9430.83,2025-03-19T08:03:46,2025-05-18T08:03:46,2025-05-10T08:03:46,paid,False,3747402240623,GL-1189,CC-156,Invoice for PO PO-06a8d876f3,2025-03-25 08:03:46
INV-1243b5ef,PO-06ab2dfebe,5778.15,2025-07-02T08:30:47,2025-08-31T08:30:47,2025-08-23T08:30:47,paid,False,2844218859689,GL-1033,CC-152,Invoice for PO PO-06ab2dfebe,2025-07-09 08:30:47
INV-6dbc607b,PO-06ab2dfebe,5809.22,2025-06-30T08:30:47,2025-08-29T08:30:47,2025-08-19T08:30:47,paid,False,6733960303983,GL-1121,CC-152,Invoice for PO PO-06ab2dfebe,2025-07-05 08:30:47
INV-5c05f5a9,PO-06ab2dfebe,5002.17,2025-07-01T08:30:47,2025-08-30T08:30:47,2025-08-22T08:30:47,paid,False,0309371985733,GL-1152,CC-152,Invoice for PO PO-06ab2dfebe,2025-07-06 08:30:47
INV-e1dad62c,PO-073c7ac70a,10211.78,2023-10-05T08:29:30,2023-12-04T08:29:30,2023-11-19T08:29:30,paid,False,4683753016465,GL-1146,CC-118,Invoice for PO PO-073c7ac70a,2023-10-14 08:29:30
INV-74b8b452,PO-073c7ac70a,10033.81,2023-10-05T08:29:30,2023-12-04T08:29:30,2023-11-27T08:29:30,paid,False,6409202362987,GL-1139,CC-118,Invoice for PO PO-073c7ac70a,2023-10-10 08:29:30
INV-66c8b879,PO-073c7ac70a,8344.09,2023-10-07T08:29:30,2023-12-06T08:29:30,2023-11-25T08:29:30,paid,False,6807320295208,GL-1046,CC-118,Invoice for PO PO-073c7ac70a,2023-10-11 08:29:30
INV-c16bf6ea,PO-0745265888,1354.69,2024-08-28T03:08:09,2024-11-26T03:08:09,2024-11-24T03:08:09,paid,False,4469267806989,GL-1123,CC-MKT-NS_NESQ_2024_001,Invoice for PO PO-0745265888,2024-09-04 03:08:09
INV-7f6bb700,PO-0745265888,1270.39,2024-08-30T03:08:09,2024-11-28T03:08:09,2024-11-21T03:08:09,paid,False,8210883827607,GL-1050,CC-MKT-NS_NESQ_2024_001,Invoice for PO PO-0745265888,2024-09-06 03:08:09
INV-eafcd80c,PO-07691dc090,207.01,2024-12-01T11:46:14,2025-01-30T11:46:14,2025-01-18T11:46:14,paid,False,2555397757580,GL-1061,CC-MKT-EL_HOL_2024_001,Invoice for PO PO-07691dc090,2024-12-07 11:46:14
INV-df60bd46,PO-07691dc090,203.85,2024-12-04T11:46:14,2025-02-02T11:46:14,2025-02-01T11:46:14,paid,False,3936072313328,GL-1137,CC-MKT-EL_HOL_2024_001,Invoice for PO PO-07691dc090,2024-12-12 11:46:14
INV-609c409c,PO-07691dc090,210.05,2024-12-03T11:46:14,2025-02-01T11:46:14,2025-01-26T11:46:14,paid,False,7135276956607,GL-1117,CC-MKT-EL_HOL_2024_001,Invoice for PO PO-07691dc090,2024-12-05 11:46:14
INV-7c7daa8b,PO-081ae128c5,472.59,2024-03-06T08:33:33,2024-06-04T08:33:33,2024-06-20T08:33:33,paid,True,9295566971883,GL-1165,CC-142,Invoice for PO PO-081ae128c5,2024-03-15 08:33:33
INV-8d63b206,PO-081ae128c5,515.36,2024-03-10T08:33:33,2024-06-08T08:33:33,2024-05-28T08:33:33,paid,False,0451614877630,GL-1182,CC-142,Invoice for PO PO-081ae128c5,2024-03-20 08:33:33
INV-f5906da4,PO-08d3701019,4741.98,2024-04-23T22:10:12,2024-07-22T22:10:12,2024-07-17T22:10:12,paid,False,6797255272644,GL-1087,CC-MKT-NS_GG_2024_001,Invoice for PO PO-08d3701019,2024-04-29 22:10:12
INV-58aeca2c,PO-08d3701019,3921.7,2024-04-24T22:10:12,2024-07-23T22:10:12,2024-08-13T22:10:12,paid,True,5832582762022,GL-1023,CC-MKT-NS_GG_2024_001,Invoice for PO PO-08d3701019,2024-04-28 22:10:12
INV-cbb5172b,PO-08d3701019,4336.32,2024-04-20T22:10:12,2024-07-19T22:10:12,2024-07-15T22:10:12,paid,False,0444369006349,GL-1034,CC-MKT-NS_GG_2024_001,Invoice for PO PO-08d3701019,2024-04-24 22:10:12
INV-c7a19c6f,PO-08e1676293,31513.97,2024-11-27T08:35:18,2025-01-26T08:35:18,2025-01-16T08:35:18,paid,False,4012632941923,GL-1086,CC-118,Invoice for PO PO-08e1676293,2024-12-02 08:35:18
INV-d9bd33d3,PO-08e1676293,33460.57,2024-11-26T08:35:18,2025-01-25T08:35:18,2025-01-20T08:35:18,paid,False,4376349994574,GL-1141,CC-118,Invoice for PO PO-08e1676293,2024-12-01 08:35:18
INV-544663a5,PO-08e1676293,32888.61,2024-11-26T08:35:18,2025-01-25T08:35:18,2025-01-16T08:35:18,paid,False,7564879760210,GL-1122,CC-118,Invoice for PO PO-08e1676293,2024-12-03 08:35:18
INV-717d06cd,PO-099c610812,2016.35,2024-03-01T02:59:51,2024-04-30T02:59:51,2024-04-24T02:59:51,paid,False,7768984562381,GL-1144,CC-MKT-EM_SW_2024_001,Invoice for PO PO-099c610812,2024-03-02 02:59:51
INV-b5f11b6a,PO-099c610812,2181.72,2024-03-03T02:59:51,2024-05-02T02:59:51,2024-04-26T02:59:51,paid,False,7842418385743,GL-1173,CC-MKT-EM_SW_2024_001,Invoice for PO PO-099c610812,2024-03-04 02:59:51
INV-ebaea721,PO-099c610812,2072.31,2024-03-02T02:59:51,2024-05-01T02:59:51,2024-05-15T02:59:51,paid,True,7851913300823,GL-1094,CC-MKT-EM_SW_2024_001,Invoice for PO PO-099c610812,2024-03-11 02:59:51
INV-da038782,PO-09e08e4fb4,1505.13,2024-07-14T11:00:25,2024-08-13T11:00:25,2024-08-09T11:00:25,paid,False,5208995621193,GL-1076,CC-MKT-DY_COOL_2024_001,Invoice for PO PO-09e08e4fb4,2024-07-23 11:00:25
INV-f15b854c,PO-09e08e4fb4,1789.7,2024-07-13T11:00:25,2024-08-12T11:00:25,2024-08-06T11:00:25,paid,False,0109433540555,GL-1069,CC-MKT-DY_COOL_2024_001,Invoice for PO PO-09e08e4fb4,2024-07-19 11:00:25
INV-b87fd281,PO-09e08e4fb4,1705.17,2024-07-14T11:00:25,2024-08-13T11:00:25,2024-08-01T11:00:25,paid,False,6479587626370,GL-1007,CC-MKT-DY_COOL_2024_001,Invoice for PO PO-09e08e4fb4,2024-07-16 11:00:25
INV-e7229a88,PO-0a96b8e52f,1795.47,2024-05-28T20:25:33,2024-07-27T20:25:33,2024-07-20T20:25:33,paid,False,6067462143380,GL-1188,CC-MKT-ADIDAS_LRC_001,Invoice for PO PO-0a96b8e52f,2024-06-06 20:25:33
INV-9b4ce8ba,PO-0a96b8e52f,1506.02,2024-05-29T20:25:33,2024-07-28T20:25:33,2024-07-24T20:25:33,paid,False,4752308956553,GL-1000,CC-MKT-ADIDAS_LRC_001,Invoice for PO PO-0a96b8e52f,2024-06-02 20:25:33
INV-7ddfb800,PO-0b1a3a8c3f,8006.49,2024-09-29T08:33:12,2024-10-29T08:33:12,2024-11-01T08:33:12,paid,True,9563857664999,GL-1164,CC-133,Invoice for PO PO-0b1a3a8c3f,2024-10-02 08:33:12
INV-4babe1db,PO-0b1a3a8c3f,8022.46,2024-09-29T08:33:12,2024-10-29T08:33:12,2024-10-21T08:33:12,paid,False,8823354628056,GL-1125,CC-133,Invoice for PO PO-0b1a3a8c3f,2024-10-03 08:33:12
INV-5e6c7732,PO-0b1a3a8c3f,10279.46,2024-09-29T08:33:12,2024-10-29T08:33:12,2024-10-17T08:33:12,paid,False,9341849137399,GL-1105,CC-133,Invoice for PO PO-0b1a3a8c3f,2024-10-08 08:33:12
INV-9cc389b6,PO-0b7e17e376,129709.15,2024-09-16T08:14:42,2024-12-15T08:14:42,2024-12-06T08:14:42,paid,False,6215899010663,GL-1069,CC-127,Invoice for PO PO-0b7e17e376,2024-09-17 08:14:42
INV-e98aed8c,PO-0b7e17e376,120290.85,2024-09-17T08:14:42,2024-12-16T08:14:42,,overdue,False,2694939762184,GL-1090,CC-127,Invoice for PO PO-0b7e17e376,2024-09-19 08:14:42
INV-f1674bda,PO-0b904a0e91,12443.23,2025-02-06T08:13:53,2025-05-07T08:13:53,,overdue,False,0748023706010,GL-1183,CC-171,Invoice for PO PO-0b904a0e91,2025-02-16 08:13:53
INV-d5268944,PO-0b904a0e91,12971.5,2025-02-05T08:13:53,2025-05-06T08:13:53,2025-05-02T08:13:53,paid,False,6212157295305,GL-1194,CC-171,Invoice for PO PO-0b904a0e91,2025-02-12 08:13:53
INV-3a2c22e1,PO-0b904a0e91,13523.63,2025-02-05T08:13:53,2025-05-06T08:13:53,2025-05-18T08:13:53,paid,True,5387329204087,GL-1027,CC-171,Invoice for PO PO-0b904a0e91,2025-02-08 08:13:53
INV-9b637a82,PO-0baa8db922,285.24,2024-05-03T20:02:36,2024-07-02T20:02:36,2024-06-17T20:02:36,paid,False,0471747053718,GL-1091,CC-MKT-DYSON_MD_2024_001,Invoice for PO PO-0baa8db922,2024-05-05 20:02:36
INV-880f9f2e,PO-0baa8db922,236.65,2024-05-04T20:02:36,2024-07-03T20:02:36,2024-06-28T20:02:36,paid,False,2390467344655,GL-1168,CC-MKT-DYSON_MD_2024_001,Invoice for PO PO-0baa8db922,2024-05-14 20:02:36
INV-d1d9191d,PO-0db486e637,10154.98,2025-01-11T08:09:40,2025-04-11T08:09:40,2025-04-05T08:09:40,paid,False,9334446705818,GL-1032,CC-101,Invoice for PO PO-0db486e637,2025-01-18 08:09:40
INV-c20e191a,PO-0db7a5378e,9962.01,2026-01-03T08:15:04,2026-02-02T08:15:04,2026-01-27T08:15:04,paid,False,9058950288031,GL-1190,CC-105,Invoice for PO PO-0db7a5378e,2026-01-08 08:15:04
INV-8d58e5db,PO-0e58da01b3,2176.19,2024-12-03T08:25:16,2025-01-02T08:25:16,2024-12-20T08:25:16,paid,False,0372677882518,GL-1011,CC-146,Invoice for PO PO-0e58da01b3,2024-12-04 08:25:16
INV-aec7833f,PO-0e58da01b3,2304.19,2024-12-03T08:25:16,2025-01-02T08:25:16,2024-12-24T08:25:16,paid,False,1765041413415,GL-1185,CC-146,Invoice for PO PO-0e58da01b3,2024-12-04 08:25:16
INV-4e9bee16,PO-0fb977a90f,279.72,2024-07-04T05:19:33,2024-10-02T05:19:33,2024-09-24T05:19:33,paid,False,6189881762093,GL-1118,CC-MKT-NS_VIT_2024_001,Invoice for PO PO-0fb977a90f,2024-07-05 05:19:33
INV-1fe5d3a2,PO-0fb977a90f,256.04,2024-07-03T05:19:33,2024-10-01T05:19:33,2024-09-28T05:19:33,paid,False,2548626319758,GL-1023,CC-MKT-NS_VIT_2024_001,Invoice for PO PO-0fb977a90f,2024-07-12 05:19:33
INV-b197f463,PO-0fb977a90f,289.07,2024-06-30T05:19:33,2024-09-28T05:19:33,2024-09-17T05:19:33,paid,False,3809783838476,GL-1109,CC-MKT-NS_VIT_2024_001,Invoice for PO PO-0fb977a90f,2024-07-04 05:19:33
INV-853227a4,PO-11265293f1,9000.0,2024-06-05T00:47:26,2024-07-05T00:47:26,2024-07-01T00:47:26,paid,False,4785831479770,GL-1151,CC-MKT-EM_UPG_2024_001,Invoice for PO PO-11265293f1,2024-06-08 00:47:26
INV-15d016a3,PO-138c1473a8,21291.1,2025-01-25T08:09:49,2025-02-24T08:09:49,2025-02-21T08:09:49,paid,False,1107125481246,GL-1017,CC-180,Invoice for PO PO-138c1473a8,2025-02-03 08:09:49
INV-46a0e941,PO-13fadd2cb6,15342.87,2025-10-06T08:34:07,2025-12-05T08:34:07,2025-12-01T08:34:07,paid,False,0732680961561,GL-1157,CC-136,Invoice for PO PO-13fadd2cb6,2025-10-14 08:34:07
INV-41c833df,PO-13fadd2cb6,16357.55,2025-10-06T08:34:07,2025-12-05T08:34:07,2025-11-21T08:34:07,paid,False,3765539181978,GL-1135,CC-136,Invoice for PO PO-13fadd2cb6,2025-10-09 08:34:07
INV-17158ec7,PO-14584c3d88,69165.73,2024-07-30T08:10:43,2024-10-28T08:10:43,2024-10-22T08:10:43,paid,False,9255746724272,GL-1078,CC-164,Invoice for PO PO-14584c3d88,2024-07-31 08:10:43
INV-03b45201,PO-14584c3d88,67277.1,2024-07-28T08:10:43,2024-10-26T08:10:43,2024-10-12T08:10:43,paid,False,9770286554894,GL-1067,CC-164,Invoice for PO PO-14584c3d88,2024-08-01 08:10:43
INV-d061aea4,PO-14584c3d88,71573.22,2024-07-31T08:10:43,2024-10-29T08:10:43,2024-10-19T08:10:43,paid,False,2816348307491,GL-1197,CC-164,Invoice for PO PO-14584c3d88,2024-08-01 08:10:43
INV-5fe98116,PO-148bf48f1d,124509.82,2025-12-01T08:14:44,2026-03-01T08:14:44,2026-02-26T08:14:44,paid,False,8198074755093,GL-1003,CC-147,Invoice for PO PO-148bf48f1d,2025-12-10 08:14:44
INV-fa193e72,PO-148bf48f1d,125490.18,2025-12-01T08:14:44,2026-03-01T08:14:44,2026-03-07T08:14:44,paid,True,3116374756393,GL-1188,CC-147,Invoice for PO PO-148bf48f1d,2025-12-02 08:14:44
INV-ceb67182,PO-1498792fe3,2799.66,2024-12-05T19:43:10,2025-01-04T19:43:10,2025-01-10T19:43:10,paid,True,0322122572549,GL-1090,CC-MKT-DY_HOL_2024_001,Invoice for PO PO-1498792fe3,2024-12-12 19:43:10
INV-542abf65,PO-1498792fe3,2724.79,2024-12-08T19:43:10,2025-01-07T19:43:10,2024-12-24T19:43:10,paid,False,2389638934252,GL-1087,CC-MKT-DY_HOL_2024_001,Invoice for PO PO-1498792fe3,2024-12-12 19:43:10
INV-91d7fbcb,PO-1498792fe3,2475.55,2024-12-08T19:43:10,2025-01-07T19:43:10,2024-12-31T19:43:10,paid,False,6513832549691,GL-1157,CC-MKT-DY_HOL_2024_001,Invoice for PO PO-1498792fe3,2024-12-16 19:43:10
INV-019f62ce,PO-1517d4ad66,649.26,2024-06-11T17:02:05,2024-09-09T17:02:05,2024-08-25T17:02:05,paid,False,2764575052649,GL-1196,CC-MKT-ADIDAS_SS_ROAS_001,Invoice for PO PO-1517d4ad66,2024-06-13 17:02:05
INV-6200c1a5,PO-1517d4ad66,754.52,2024-06-11T17:02:05,2024-09-09T17:02:05,2024-08-30T17:02:05,paid,False,3141955501574,GL-1037,CC-MKT-ADIDAS_SS_ROAS_001,Invoice for PO PO-1517d4ad66,2024-06-19 17:02:05
INV-80347ffc,PO-1517d4ad66,700.98,2024-06-10T17:02:05,2024-09-08T17:02:05,2024-09-06T17:02:05,paid,False,5303077204810,GL-1138,CC-MKT-ADIDAS_SS_ROAS_001,Invoice for PO PO-1517d4ad66,2024-06-18 17:02:05
INV-7d59b444,PO-15d48d9d79,33659.77,2024-07-20T08:30:06,2024-10-18T08:30:06,2024-10-08T08:30:06,paid,False,0626701602918,GL-1148,CC-164,Invoice for PO PO-15d48d9d79,2024-07-27 08:30:06
INV-e62c224e,PO-15d48d9d79,37452.71,2024-07-21T08:30:06,2024-10-19T08:30:06,2024-10-10T08:30:06,paid,False,5223393600960,GL-1038,CC-164,Invoice for PO PO-15d48d9d79,2024-07-27 08:30:06
INV-11cfb649,PO-15d48d9d79,38666.83,2024-07-22T08:30:06,2024-10-20T08:30:06,,overdue,False,0838172737154,GL-1105,CC-164,Invoice for PO PO-15d48d9d79,2024-07-29 08:30:06
INV-c8da0ff6,PO-16d9c91818,29481.04,2024-07-03T08:19:23,2024-09-01T08:19:23,2024-08-19T08:19:23,paid,False,1688284831467,GL-1196,CC-131,Invoice for PO PO-16d9c91818,2024-07-06 08:19:23
INV-1b6782e5,PO-16d9c91818,31785.13,2024-07-03T08:19:23,2024-09-01T08:19:23,2024-08-30T08:19:23,paid,False,0812115879842,GL-1125,CC-131,Invoice for PO PO-16d9c91818,2024-07-04 08:19:23
INV-a167e386,PO-16e421e665,1742.16,2025-01-31T22:47:58,2025-04-01T22:47:58,2025-03-23T22:47:58,paid,False,4791879578757,GL-1060,CC-MKT-DY_WIN_2024_001,Invoice for PO PO-16e421e665,2025-02-05 22:47:58
INV-3824d8a4,PO-16e421e665,1757.32,2025-02-02T22:47:58,2025-04-03T22:47:58,2025-03-23T22:47:58,paid,False,7799693710770,GL-1000,CC-MKT-DY_WIN_2024_001,Invoice for PO PO-16e421e665,2025-02-08 22:47:58
INV-3663d916,PO-16e421e665,1500.53,2025-01-31T22:47:58,2025-04-01T22:47:58,2025-03-21T22:47:58,paid,False,8726034927534,GL-1084,CC-MKT-DY_WIN_2024_001,Invoice for PO PO-16e421e665,2025-02-01 22:47:58
INV-db4e7241,PO-178c53690a,61884.17,2024-03-16T08:20:22,2024-04-15T08:20:22,2024-04-10T08:20:22,paid,False,2547883740091,GL-1001,CC-108,Invoice for PO PO-178c53690a,2024-03-21 08:20:22
INV-d998dd45,PO-178c53690a,51020.72,2024-03-19T08:20:22,2024-04-18T08:20:22,2024-04-08T08:20:22,paid,False,4423272735825,GL-1083,CC-108,Invoice for PO PO-178c53690a,2024-03-22 08:20:22
INV-3eb88182,PO-17940b3146,68230.63,2023-11-08T08:22:21,2024-01-07T08:22:21,2024-01-09T08:22:21,paid,True,3836421756410,GL-1105,CC-111,Invoice for PO PO-17940b3146,2023-11-15 08:22:21
INV-d6e4e6c5,PO-17940b3146,71085.7,2023-11-07T08:22:21,2024-01-06T08:22:21,2024-01-01T08:22:21,paid,False,5198427732453,GL-1006,CC-111,Invoice for PO PO-17940b3146,2023-11-17 08:22:21
INV-ff4a8a31,PO-186e6041a0,172737.78,2025-06-28T08:22:02,2025-08-27T08:22:02,2025-08-15T08:22:02,paid,False,2040354933393,GL-1016,CC-132,Invoice for PO PO-186e6041a0,2025-06-29 08:22:02
INV-4238d939,PO-191e7dcac4,14019.55,2025-10-29T08:10:30,2026-01-27T08:10:30,,pending,False,3070002022611,GL-1061,CC-118,Invoice for PO PO-191e7dcac4,2025-11-06 08:10:30
INV-20ac8c26,PO-1997cf29e9,4761.76,2024-10-19T03:58:03,2025-01-17T03:58:03,2025-01-18T03:58:03,paid,True,4743751358162,GL-1040,CC-MKT-NS_MAG_2024_001,Invoice for PO PO-1997cf29e9,2024-10-24 03:58:03
INV-ee181bad,PO-19ae799ec9,7001.25,2025-05-04T08:14:37,2025-07-03T08:14:37,2025-06-20T08:14:37,paid,False,0860546630914,GL-1105,CC-150,Invoice for PO PO-19ae799ec9,2025-05-14 08:14:37
INV-9d492f8a,PO-19ae799ec9,6907.79,2025-05-04T08:14:37,2025-07-03T08:14:37,2025-06-30T08:14:37,paid,False,5558588145354,GL-1087,CC-150,Invoice for PO PO-19ae799ec9,2025-05-06 08:14:37
INV-1fbe7f86,PO-19ae799ec9,6324.96,2025-05-01T08:14:37,2025-06-30T08:14:37,2025-07-14T08:14:37,paid,True,6044181385116,GL-1131,CC-150,Invoice for PO PO-19ae799ec9,2025-05-03 08:14:37
INV-fbdb2e56,PO-19e3c36980,7053.8,2025-10-12T08:32:45,2025-11-11T08:32:45,2025-11-01T08:32:45,paid,False,8336742057920,GL-1162,CC-106,Invoice for PO PO-19e3c36980,2025-10-14 08:32:45
