sku,name,description,unitOfMeasure,isCritical,category_L1,category_L2,category_L3,category_L4
PROD-63df1e,Precision Linear Bearings,High-quality linear bearings designed for smooth motion and long-lasting performance.,KG,False,Direct Materials,Components & Sub-Assemblies,Mechanical Components,Bearings & Gears
PROD-9f71f4,Gold Coin Collection Set,A curated collection of authentic gold coins from various eras and countries.,Box,False,Direct Materials,Raw Materials,Metals & Minerals,"Precious Metals (Gold, Silver)"
PROD-d40249,ClearGuard UV Film,A durable transparent film that blocks harmful UV rays while maintaining clarity and protecting against fading.,Set,False,Direct Materials,Raw Materials,Plastics & Polymers,Films & Sheeting
PROD-ed5368,PrintPro Label Maker,A versatile label maker designed to create professional-quality labels and inserts quickly and easily.,Box,False,Direct Materials,Packaging Materials,Tertiary Packaging & Shipping Supplies,Labels & Inserts
PROD-e656e0,Gold Sovereign Coin,A meticulously crafted 24K gold coin featuring intricate design elements symbolizing national heritage and purity.,Piece,False,Direct Materials,Raw Materials,Metals & Minerals,"Precious Metals (Gold, Silver)"
PROD-cf6737,Precision Linear Ball Bearings,High-quality linear ball bearings designed for smooth and efficient movement in precision mechanical applications.,Box,False,Direct Materials,Components & Sub-Assemblies,Mechanical Components,Bearings & Gears
PROD-671f34,Precision Roller Bearing Kit,"A high-quality, durable roller bearing kit designed to enhance performance and reduce friction in machinery.",Set,False,Direct Materials,Components & Sub-Assemblies,Mechanical Components,Bearings & Gears
PROD-63294b,EcoFriendly Label Kit,A sustainable label kit featuring biodegradable materials and eco-friendly printing.,Set,False,Direct Materials,Packaging Materials,Tertiary Packaging & Shipping Supplies,Labels & Inserts
PROD-3f7f8f,EcoShield UV Protection Coating,A high-performance coating that provides superior protection against harmful UV rays while enhancing the aesthetic appeal of your surfaces.,KG,True,Direct Materials,Raw Materials,Chemicals,"Coatings, Pigments & Dyes"
PROD-3b9071,Organic Coconut Oil,"Pure, unrefined coconut oil extracted from fresh coconuts, perfect for cooking, baking, and natural skincare.",Piece,True,Direct Materials,Raw Materials,Agricultural Products,Oils & Fats
PROD-c863b0,VersaFlex PCB,"A versatile, high-performance printed circuit board designed for compact electronic devices.",Piece,True,Direct Materials,Components & Sub-Assemblies,Electronic Components,Printed Circuit Boards (PCBs)
PROD-9edddb,Kitchen Organizing Tray Set,A set of durable trays with dividers to keep your kitchen organized and clutter-free.,Box,False,Direct Materials,Packaging Materials,Secondary Packaging,Trays & Dividers
PROD-b370f7,Premium Electric Water Pump,A durable and efficient water pump designed to meet high-demand applications.,Box,False,Direct Materials,Components & Sub-Assemblies,Mechanical Components,Motors & Pumps
PROD-76a8f3,FlexiWrap Pro,"A versatile stretch wrap that easily adapts to various packaging needs, ensuring secure and efficient wrapping for products of all shapes.",Set,False,Direct Materials,Packaging Materials,Tertiary Packaging & Shipping Supplies,Stretch & Shrink Wrap
PROD-8afdb0,EcoGuard Crossbody Bag,A stylish and durable crossbody bag designed to protect your belongings while being environmentally friendly.,Piece,False,Direct Materials,Packaging Materials,Primary Packaging,"Bags, Pouches & Wrappers"
PROD-3f0a70,Acetone-40,A versatile solvent ideal for cleaning electronic components and removing adhesives.,Box,False,Direct Materials,Raw Materials,Chemicals,Solvents & Adhesives
PROD-ea9391,Premium Steel Bar,A durable steel bar ideal for construction and industrial applications.,KG,False,Direct Materials,Raw Materials,Metals & Minerals,"Ferrous Metals (Steel, Iron)"
PROD-603677,PolyEthylene Terephthalate Resin,High-quality PET resin ideal for manufacturing bottles and containers due to its durability and recyclability.,KG,True,Direct Materials,Raw Materials,Plastics & Polymers,"Resins (PET, HDPE)"
PROD-5377e9,EcoLabel Pro,Eco-friendly labels designed to enhance your organization while minimizing environmental impact.,Piece,False,Direct Materials,Packaging Materials,Tertiary Packaging & Shipping Supplies,Labels & Inserts
PROD-e065f0,Eco-Friendly Reusable Produce Bag,A durable and washable produce bag made from sustainable materials to reduce plastic waste.,Set,False,Direct Materials,Packaging Materials,Primary Packaging,"Bags, Pouches & Wrappers"
PROD-5fcad7,EcoGuard XL Cardboard Box,Durable corrugated box designed to safely transport your products while being environmentally friendly.,KG,False,Direct Materials,Packaging Materials,Secondary Packaging,Corrugated Boxes & Cartons
PROD-9d05ae,Industrial Compressor Replacement Piston,"Durable spare part designed to replace worn-out pistons in industrial compressors, ensuring optimal performance and longevity.",Piece,False,Technical Materials,"MRO (Maintenance, Repair & Operations)",Spare Parts,Equipment-Specific Spare Parts
PROD-cb776b,Precision CNC Router,A high-speed router designed to enhance precision and efficiency in woodworking projects.,Set,False,Technical Materials,Manufacturing Equipment,Production Machinery,CNC Machines & Lathes
PROD-58dc8c,Precision CNC Lathe Machine,A high-performance CNC lathe machine designed to deliver precise machining capabilities for a wide range of industrial applications.,Set,False,Technical Materials,Manufacturing Equipment,Production Machinery,CNC Machines & Lathes
PROD-329c1c,Elite Lift Pro,"A durable, high-performance electric pallet jack designed for efficient material handling in warehouses and industrial settings.",Set,False,Technical Materials,Manufacturing Equipment,Material Handling Equipment,Forklifts & Pallet Jacks
PROD-56dbb3,FastForm Rapid PLA,"A high-quality, biodegradable plastic material ideal for rapid prototyping and 3D printing applications.",Box,True,Technical Materials,R&D and Laboratory,Prototyping Services & Materials,Rapid Prototyping Materials
PROD-530785,SpeedFlex Conveyor System,A versatile conveyor system designed to optimize material handling efficiency and adaptability.,Box,False,Technical Materials,Manufacturing Equipment,Material Handling Equipment,Conveyor Systems
PROD-a45d17,EcoClean All-Purpose Cleaner,A powerful yet eco-friendly cleaner suitable for all surfaces.,Set,False,Technical Materials,"MRO (Maintenance, Repair & Operations)",Industrial Consumables,Cleaning Agents & Janitorial Supplies
PROD-ad1213,All-Purpose Surface Cleaner,"A powerful, eco-friendly cleaner that effectively removes tough stains and grime on various surfaces.",Piece,False,Technical Materials,"MRO (Maintenance, Repair & Operations)",Industrial Consumables,Cleaning Agents & Janitorial Supplies
PROD-760781,EcoFlow Conveyor System,An energy-efficient conveyor system designed to streamline material handling processes while reducing operational costs.,Piece,True,Technical Materials,Manufacturing Equipment,Material Handling Equipment,Conveyor Systems
PROD-e3dc4e,Precision CNC Lathe,A high-precision CNC lathe designed for efficient machining of metal and plastic parts.,Box,False,Technical Materials,Manufacturing Equipment,Production Machinery,CNC Machines & Lathes
PROD-31e43d,Precision CNC Lathe Machine,High-precision machine ideal for manufacturing intricate parts and components with consistent quality.,Piece,False,Technical Materials,Manufacturing Equipment,Production Machinery,CNC Machines & Lathes
PROD-d79c23,Precision Grinding Wheel,High-quality abrasive grinding wheel ideal for fine finishing and surface preparation tasks.,KG,False,Technical Materials,"MRO (Maintenance, Repair & Operations)",Industrial Consumables,Abrasives & Welding Supplies
PROD-1e0dce,CaliperMaster Pro,A precision digital caliper designed for accurate measurement of dimensions in various industrial applications.,Box,True,Technical Materials,R&D and Laboratory,Lab Equipment,Measurement & Testing Instruments
PROD-a8cc1b,Precision Caliper Pro,A high-precision digital caliper ideal for measuring dimensions and tolerances in industrial applications.,Box,False,Technical Materials,R&D and Laboratory,Lab Equipment,Measurement & Testing Instruments
PROD-f36938,Premium Silicone Lubricant,A high-quality silicone-based lubricant perfect for reducing friction and protecting against wear in automotive and industrial applications.,Box,False,Technical Materials,"MRO (Maintenance, Repair & Operations)",Industrial Consumables,"Lubricants, Oils & Greases"
PROD-5d82a4,Precision CNC Lathe,"A high-speed CNC lathe ideal for producing precise, high-quality parts.",Set,False,Technical Materials,Manufacturing Equipment,Production Machinery,CNC Machines & Lathes
PROD-aba5b3,ProGuard Impact Resistant Safety Helmet,A durable and lightweight hard hat designed to provide maximum protection against impact while ensuring comfort for extended wear.,KG,True,Technical Materials,"MRO (Maintenance, Repair & Operations)",Safety & PPE (Personal Protective Equipment),"Safety Gloves, Goggles & Hard Hats"
PROD-38887b,Precision Cutting Die Set,A set of high-quality dies designed to ensure accurate and efficient cutting processes for various materials.,Set,False,Technical Materials,Manufacturing Equipment,Tooling & Molds,"Dies, Jigs & Fixtures"
PROD-4f3591,Calibrated Multimeter Pro,"A durable, precision-calibrated multimeter designed for accurate electrical measurements.",Box,True,Technical Materials,R&D and Laboratory,Lab Equipment,Measurement & Testing Instruments
PROD-e6f806,RoboLine 3000,An advanced assembly line automation system that integrates robotic arms and AI-driven processes to streamline production efficiency.,Piece,False,Technical Materials,Manufacturing Equipment,Production Machinery,Assembly Line Automation & Robotics
PROD-f0b4e4,BioPure Hydrogen Peroxide,A high-purity hydrogen peroxide solution suitable for laboratory use and disinfection.,Box,True,Technical Materials,R&D and Laboratory,Lab Supplies,Chemicals & Reagents
PROD-0bba6a,ProGuard Safety Kit,"Durable all-in-one safety kit featuring high-quality gloves, goggles, and a hard hat for workplace protection.",KG,False,Technical Materials,"MRO (Maintenance, Repair & Operations)",Safety & PPE (Personal Protective Equipment),"Safety Gloves, Goggles & Hard Hats"
PROD-76f2e4,All-Terrain Forklift Model X,A durable and versatile forklift designed to handle a wide range of industrial environments.,Set,True,Technical Materials,Manufacturing Equipment,Material Handling Equipment,Forklifts & Pallet Jacks
PROD-552dab,ProGuard Safety Kit,"A comprehensive safety kit including durable gloves, goggles, and a hard hat for maximum protection.",KG,False,Technical Materials,"MRO (Maintenance, Repair & Operations)",Safety & PPE (Personal Protective Equipment),"Safety Gloves, Goggles & Hard Hats"
PROD-4de305,Professional 3D Printing Solutions,"High-quality, precise 3D printing services tailored to meet your unique design requirements.",KG,False,Technical Materials,R&D and Laboratory,Prototyping Services & Materials,3D Printing Services
PROD-10dba6,ProGuard Safety Gear,"A premium set of safety gloves, goggles, and hard hats designed to protect workers in hazardous environments.",Set,False,Technical Materials,"MRO (Maintenance, Repair & Operations)",Safety & PPE (Personal Protective Equipment),"Safety Gloves, Goggles & Hard Hats"
PROD-cf1098,Precision Slotting Die Set,A high-quality set of dies designed to accurately cut precise slots for various applications.,Piece,False,Technical Materials,Manufacturing Equipment,Tooling & Molds,"Dies, Jigs & Fixtures"
PROD-cab863,RoboMate Pro,An advanced robotic system designed to streamline manufacturing processes and enhance productivity on assembly lines.,Set,True,Technical Materials,Manufacturing Equipment,Production Machinery,Assembly Line Automation & Robotics
PROD-5750bd,Industrial Mixer Pro,A high-performance industrial mixer designed to efficiently blend materials for various processing applications.,Set,False,Technical Materials,Manufacturing Equipment,Production Machinery,Processing Equipment
PROD-a24995,RoboLine X1000,An advanced assembly line automation robot that boosts efficiency and precision in manufacturing processes.,Piece,False,Technical Materials,Manufacturing Equipment,Production Machinery,Assembly Line Automation & Robotics
PROD-8f2065,QuantumSpec Pro Spectrometer,A high-precision spectrometer designed for advanced scientific research and analysis.,KG,False,Technical Materials,R&D and Laboratory,Lab Equipment,"Analytical Equipment (Spectrometers, Microscopes)"
PROD-d4ea03,Precision Slotting Die Set,A durable set of precision-engineered dies designed to create consistent and precise slots for various applications.,Box,False,Technical Materials,Manufacturing Equipment,Tooling & Molds,"Dies, Jigs & Fixtures"
PROD-229d14,Advanced Processing Unit,A state-of-the-art device designed to optimize efficiency and enhance productivity across various industrial applications.,Box,False,Technical Materials,Manufacturing Equipment,Production Machinery,Processing Equipment
PROD-c24f57,Universal Precision Valve Kit,Durable valve kit designed for seamless integration and maintenance across various industrial applications.,KG,False,Technical Materials,"MRO (Maintenance, Repair & Operations)",Spare Parts,"General Industrial Spares (Valves, Belts)"
PROD-562e09,Engine Oil Filter Rebuild Kit,"A comprehensive kit to rebuild your engine oil filter, ensuring optimal performance and longevity.",KG,False,Technical Materials,"MRO (Maintenance, Repair & Operations)",Spare Parts,Equipment-Specific Spare Parts
PROD-56371d,Classic Cast Bronze Lattice Pattern Mold,Ideal for crafting decorative bronze elements with intricate lattice designs.,KG,False,Technical Materials,Manufacturing Equipment,Tooling & Molds,Molds & Patterns
PROD-5e1443,Silicone Lubricant Spray,A versatile silicone-based lubricant spray that enhances smooth operation and prolongs machinery lifespan.,KG,False,Technical Materials,"MRO (Maintenance, Repair & Operations)",Industrial Consumables,"Lubricants, Oils & Greases"
PROD-b37977,AutumnGuard Fall Safety Kit,"Comprehensive fall protection system including harnesses, helmets, and air-supply devices for safe working at heights during the autumn season.",Piece,False,Technical Materials,"MRO (Maintenance, Repair & Operations)",Safety & PPE (Personal Protective Equipment),Fall Protection & Respiratory Gear
PROD-88a8a7,Precision Cutting Die Set,A high-quality die set designed to ensure accurate and consistent cuts on various materials.,Piece,False,Technical Materials,Manufacturing Equipment,Tooling & Molds,"Dies, Jigs & Fixtures"
PROD-22a1b1,Acidic Buffer Solution Kit,A comprehensive set of reagents and buffers tailored for precise acid-base reactions.,Piece,False,Technical Materials,R&D and Laboratory,Lab Supplies,Chemicals & Reagents
PROD-bad37f,Silicone Lubricant Spray,A versatile silicone-based spray lubricant perfect for all metal surfaces and sensitive materials.,Box,True,Technical Materials,"MRO (Maintenance, Repair & Operations)",Industrial Consumables,"Lubricants, Oils & Greases"
PROD-249b6c,Industrial Grade Steel Belt,High-quality steel belt designed for heavy-duty industrial applications.,Box,False,Technical Materials,"MRO (Maintenance, Repair & Operations)",Spare Parts,"General Industrial Spares (Valves, Belts)"
PROD-691e8c,Synthetic Lubricant X,A high-performance synthetic lubricant designed to enhance machinery efficiency and reduce wear.,Box,False,Technical Materials,"MRO (Maintenance, Repair & Operations)",Industrial Consumables,"Lubricants, Oils & Greases"
PROD-27a999,PurityCheck Advanced,A versatile chemical analysis kit designed to ensure optimal purity and quality of reagents.,KG,True,Technical Materials,R&D and Laboratory,Lab Supplies,Chemicals & Reagents
PROD-e4bcc9,EcoClean Pro,"A powerful, eco-friendly cleaning agent that effectively removes tough stains and sanitizes surfaces.",Set,False,Technical Materials,"MRO (Maintenance, Repair & Operations)",Industrial Consumables,Cleaning Agents & Janitorial Supplies
PROD-080c10,Precision Rivet Seamer,A durable tool designed to accurately and securely join metal sheets using specialized rivets.,Set,True,Technical Materials,Manufacturing Equipment,Tooling & Molds,"Dies, Jigs & Fixtures"
PROD-21750a,Engine Oil Filter Rebuild Kit,High-quality spare parts kit designed to rebuild and restore engine oil filters for optimal performance.,Piece,True,Technical Materials,"MRO (Maintenance, Repair & Operations)",Spare Parts,Equipment-Specific Spare Parts
PROD-785bfc,ProGuard Safety Kit,"A comprehensive set of high-quality safety gloves, goggles, and hard hats designed to protect your hands, eyes, and head during hazardous work environments.",Piece,False,Technical Materials,"MRO (Maintenance, Repair & Operations)",Safety & PPE (Personal Protective Equipment),"Safety Gloves, Goggles & Hard Hats"
PROD-1d6eee,ProGuard Safety Gear,"Durable safety gloves, goggles, and hard hats designed to protect against workplace hazards.",Piece,False,Technical Materials,"MRO (Maintenance, Repair & Operations)",Safety & PPE (Personal Protective Equipment),"Safety Gloves, Goggles & Hard Hats"
PROD-00e8ad,EcoClean Pro Disinfectant Spray,"A powerful, eco-friendly disinfectant spray that effectively cleans and sanitizes surfaces while being safe for the environment.",KG,False,Technical Materials,"MRO (Maintenance, Repair & Operations)",Industrial Consumables,Cleaning Agents & Janitorial Supplies
PROD-caeee0,Precision Hole Punch Set,A durable set of hole punches designed to ensure consistent and accurate holes for various materials.,Piece,False,Technical Materials,Manufacturing Equipment,Tooling & Molds,"Dies, Jigs & Fixtures"
PROD-3685d7,EcoFlow Glass Water Bottle,"Sustainably designed glass water bottle made from recycled materials, perfect for reducing plastic waste.",Box,False,Technical Materials,R&D and Laboratory,Lab Supplies,Glassware & Plasticware
PROD-d0e294,Precision Gear Shaper,A versatile and durable processing equipment designed to shape gears with high precision.,Piece,False,Technical Materials,Manufacturing Equipment,Production Machinery,Processing Equipment
PROD-8fce2b,FlexiFlow Conveyor System,A versatile conveyor system designed to enhance material handling efficiency and adaptability in various industrial environments.,KG,False,Technical Materials,Manufacturing Equipment,Material Handling Equipment,Conveyor Systems
PROD-8de14d,Diamond Grinding Disc,High-quality diamond-coated abrasive disc perfect for grinding and polishing various surfaces.,Box,False,Technical Materials,"MRO (Maintenance, Repair & Operations)",Industrial Consumables,Abrasives & Welding Supplies
PROD-002f70,Calibrated Precision Thermometer,A high-accuracy thermometer designed for precise temperature measurements across various industries.,Box,False,Technical Materials,R&D and Laboratory,Lab Equipment,Measurement & Testing Instruments
PROD-174632,ProGuard Fall Protection Harness,"A durable, lightweight harness designed to keep you secure while working at heights during fall protection tasks.",Set,False,Technical Materials,"MRO (Maintenance, Repair & Operations)",Safety & PPE (Personal Protective Equipment),Fall Protection & Respiratory Gear
PROD-8dbe4f,Synthetic Lubricant X,A high-performance synthetic lubricant designed to protect machinery and extend equipment life by reducing friction and wear.,KG,False,Technical Materials,"MRO (Maintenance, Repair & Operations)",Industrial Consumables,"Lubricants, Oils & Greases"
PROD-4b1cad,RoboLine Pro,An advanced robotic assembly line system designed to increase productivity and reduce operational costs.,Piece,False,Technical Materials,Manufacturing Equipment,Production Machinery,Assembly Line Automation & Robotics
PROD-92cfb7,AirGuard Pro,A high-performance respirator designed to protect against airborne contaminants and provide unparalleled comfort during outdoor activities.,Box,False,Technical Materials,"MRO (Maintenance, Repair & Operations)",Safety & PPE (Personal Protective Equipment),Fall Protection & Respiratory Gear
PROD-55c2b4,Universal Hydraulic Valve Kit,Durable valve kit suitable for various hydraulic systems ensuring optimal performance and longevity.,KG,False,Technical Materials,"MRO (Maintenance, Repair & Operations)",Spare Parts,"General Industrial Spares (Valves, Belts)"
PROD-9408b9,QuickForm 3D Resin,"A high-resolution, durable 3D printing resin ideal for fast and precise prototyping projects.",Set,False,Technical Materials,R&D and Laboratory,Prototyping Services & Materials,Rapid Prototyping Materials
PROD-eaae2a,Acidic Buffer Kit,A comprehensive kit containing pH buffers suitable for acidic environments.,KG,False,Technical Materials,R&D and Laboratory,Lab Supplies,Chemicals & Reagents
PROD-75ba24,3D Print Master Binder,"A high-performance binder that enhances print quality and durability, ideal for rapid prototyping projects.",KG,False,Technical Materials,R&D and Laboratory,Prototyping Services & Materials,Rapid Prototyping Materials
PROD-291f41,Precision CNC Router,A high-performance CNC machine designed for intricate routing and cutting tasks.,Box,False,Technical Materials,Manufacturing Equipment,Production Machinery,CNC Machines & Lathes
PROD-1a9d9e,Digital Multimeter Pro,A versatile digital multimeter perfect for electrical testing and diagnostics.,Piece,False,Technical Materials,R&D and Laboratory,Lab Equipment,Measurement & Testing Instruments
PROD-0712aa,FlexiFlow Conveyor System,An adaptable conveyor system designed to handle various materials efficiently while minimizing downtime.,Box,False,Technical Materials,Manufacturing Equipment,Material Handling Equipment,Conveyor Systems
PROD-1186d1,Custom Rapid Prototyping Solutions,High-quality 3D printing services offering fast turnaround and precision engineering.,Piece,False,Technical Materials,R&D and Laboratory,Prototyping Services & Materials,3D Printing Services
PROD-6c8a3b,Silicone Food Mold Set,Eco-friendly silicone molds perfect for creating decorative food shapes and designs.,Piece,False,Technical Materials,Manufacturing Equipment,Tooling & Molds,Molds & Patterns
PROD-50381f,Silicone Food Mold Set,A versatile set of silicone molds perfect for creating unique shapes and designs in your culinary creations.,KG,True,Technical Materials,Manufacturing Equipment,Tooling & Molds,Molds & Patterns
PROD-3084de,ProGuard Safety Set,"A high-quality set of safety gloves, goggles, and hard hats designed to protect workers in industrial environments.",Set,False,Technical Materials,"MRO (Maintenance, Repair & Operations)",Safety & PPE (Personal Protective Equipment),"Safety Gloves, Goggles & Hard Hats"
PROD-d18025,Bamboo Stir Stick Set,Eco-friendly bamboo stir sticks perfect for enhancing your beverage experience while reducing plastic waste.,Box,True,Technical Materials,R&D and Laboratory,Lab Supplies,Glassware & Plasticware
PROD-a596b9,EcoClean All-Purpose Cleaner,"A powerful, eco-friendly cleaner suitable for all surfaces and hard-to-clean areas.",Box,True,Technical Materials,"MRO (Maintenance, Repair & Operations)",Industrial Consumables,Cleaning Agents & Janitorial Supplies
PROD-1ba4d4,Eco-Friendly Glass Vase,"A stylish glass vase perfect for showcasing your favorite blooms, made from sustainable materials.",Piece,True,Technical Materials,R&D and Laboratory,Lab Supplies,Glassware & Plasticware
PROD-219b01,RoboCutter Pro,Advanced robotic cutting system designed to enhance efficiency and precision on modern assembly lines.,Piece,False,Technical Materials,Manufacturing Equipment,Production Machinery,Assembly Line Automation & Robotics
PROD-d9835c,Engine Oil Filter,High-quality oil filter designed to improve engine performance and extend its lifespan.,Set,False,Technical Materials,"MRO (Maintenance, Repair & Operations)",Spare Parts,Equipment-Specific Spare Parts
PROD-614a05,FlexiFlow Conveyor System,A versatile conveyor system designed to handle various materials efficiently and safely.,Piece,True,Technical Materials,Manufacturing Equipment,Material Handling Equipment,Conveyor Systems
PROD-157224,Precision Cutting Die Set,A set of high-quality dies designed to ensure accurate and consistent cuts on various materials.,Set,False,Technical Materials,Manufacturing Equipment,Tooling & Molds,"Dies, Jigs & Fixtures"
PROD-2af3d5,Stabilized Hydrogen Peroxide Solution,A high-purity hydrogen peroxide solution that is stable and safe for laboratory use.,Set,False,Technical Materials,R&D and Laboratory,Lab Supplies,Chemicals & Reagents
PROD-982945,Guardian Fall Rescue Kit,"Essential kit designed to ensure safety and rescue during fall incidents, featuring sturdy harnesses, lifelines, and a reliable anchor system.",Piece,False,Technical Materials,"MRO (Maintenance, Repair & Operations)",Safety & PPE (Personal Protective Equipment),Fall Protection & Respiratory Gear
,Employee PayMaster,An all-in-one payroll solution that simplifies pay calculations and ensures compliance with labor laws.,Piece,False,Indirect Services and Materials,Corporate & Professional Services,Human Resources Services,Payroll & Benefits Administration
,Eco-Friendly Reusable Pen,"A durable and stylish pen made from sustainable materials, perfect for everyday writing.",Set,False,Indirect Services and Materials,Facility Services,Office Supplies & Services,Stationery & Consumables
,Garden Gnome Leaf Blower,A durable leaf blower designed to effortlessly clear leaves and debris from your lawn.,Piece,False,Indirect Services and Materials,Facility Services,Facility Management,Landscaping & Groundskeeping
,ExpoPro Solutions,Professional trade show services offering innovative design solutions and interactive exhibit installations to enhance your brand's presence at any event.,KG,False,Indirect Services and Materials,Marketing & Sales,Events & Promotions,Trade Show & Exhibition Services
,SecureGuard Pro,A state-of-the-art access control system that ensures maximum security and seamless entry management.,Set,False,Indirect Services and Materials,Facility Services,Security Services,Access Control Systems
,SecureLife Insurance,"A comprehensive insurance package that offers protection for your property, liability, health, and travel needs.",Set,True,Indirect Services and Materials,Corporate & Professional Services,Financial Services,"Insurance (Property, Liability, Health, Travel)"
,EcoFuel Card,A sustainable fuel card offering discounts on eco-friendly fuels and rewards for reduced emissions.,KG,False,Indirect Services and Materials,Logistics,Fleet Management,"Fuel, Fuel Cards & Management"
,SecureVault Storage,A premium warehouse rental offering state-of-the-art security and climate control.,Piece,True,Indirect Services and Materials,Logistics,Warehousing & Distribution,Warehouse Rental & Storage
,Premium Apartment Lease,A comprehensive lease agreement tailored for high-end apartment dwellers.,KG,False,Indirect Services and Materials,Facility Services,Real Estate & Utilities,Property Leases & Rent
,BrightView Pro Ultra HD Projector,Delivers stunning 4K resolution for crystal-clear presentations and immersive home theater experiences.,Box,False,Indirect Services and Materials,IT & Technology,Hardware,"Audio/Visual Equipment (Projectors, Conferencing Systems)"
,SecureVault Storage Solutions,A modern warehouse rental offering secure storage facilities with advanced security features and flexible lease options.,Piece,False,Indirect Services and Materials,Logistics,Warehousing & Distribution,Warehouse Rental & Storage
,GasGuardian Pro,A smart fuel management platform that optimizes costs and tracks usage efficiently.,Box,False,Indirect Services and Materials,Logistics,Fleet Management,"Fuel, Fuel Cards & Management"
,SwiftRide,A premium taxi service offering comfortable rides and reliable transportation solutions.,KG,False,Indirect Services and Materials,Corporate Travel,Transportation,Taxi & Ride-Sharing Services
,Quantum Lead Prospector,"A cutting-edge tool that uses AI to identify and engage high-potential leads, boosting your sales pipeline.",Piece,False,Indirect Services and Materials,Marketing & Sales,Sales Support,Lead Generation Services
,LeadGen Pro,A powerful tool to capture high-quality leads efficiently.,KG,True,Indirect Services and Materials,Marketing & Sales,Sales Support,Lead Generation Services
,Eco-Friendly Water Bottle,A stylish and durable water bottle designed to reduce plastic waste while keeping your drinks cold.,Piece,False,Indirect Services and Materials,Marketing & Sales,Events & Promotions,Promotional Goods & Branded Merchandise
