riskId,supplierVendorCode,riskType,riskScore,riskDescription,mitigationPlan,riskStatus
RISK-3554dfc2,SUP-6567bb96,Spend Concentration Risk,0.0,Spend Concentration Risk for supplier SUP-6567bb96 is 0.,Monitor supplier financial health regularly to ensure they maintain a strong credit rating and manageable debt levels.,Active
RISK-12c5db62,SUP-3d44160f,Country Risk,0.0,Country Risk for supplier SUP-3d44160f is 0.,Monitor the country's economic stability and political environment to ensure continued supply chain reliability.,Active
RISK-45ca5d96,SUP-3d44160f,Single Sourcing Risk,0.0,Single Sourcing Risk for supplier SUP-3d44160f is 0.,Develop a contingency plan.,Active
RISK-e789478f,SUP-3d44160f,Financial Health Risk,0.0,Financial Health Risk for supplier SUP-3d44160f is 0.,Conduct quarterly financial health assessments to identify deteriorating financial conditions early and implement contingency plans accordingly.,Active
RISK-2d388084,SUP-3d44160f,Spend Concentration Risk,0.0,Spend Concentration Risk for supplier SUP-3d44160f is 0.,Diversify spending across multiple suppliers to reduce reliance on any single vendor.,Active
RISK-2a9026d4,SUP-9ca22b3f,Country Risk,15.0,Country Risk for supplier SUP-9ca22b3f is 15.,Diversify supply base by establishing partnerships with suppliers in lower-risk countries to mitigate country-specific risks.,Active
RISK-cd3d541c,SUP-9ca22b3f,Single Sourcing Risk,10.0,Single Sourcing Risk for supplier SUP-9ca22b3f is 10.0.,Diversify suppliers to reduce dependency on single sources.,Active
RISK-cd0d8217,SUP-9ca22b3f,Financial Health Risk,25.0,Financial Health Risk for supplier SUP-9ca22b3f is 25.,Conduct regular financial audits and diversify procurement sources to mitigate the impact of potential financial health risks.,Active
RISK-e55c564a,SUP-9ca22b3f,Spend Concentration Risk,0.0,Spend Concentration Risk for supplier SUP-9ca22b3f is 0.,Implement real-time spend monitoring systems to promptly detect and address any concentration risks.,Active
RISK-3fc801a0,SUP-38534a60,Country Risk,15.0,Country Risk for supplier SUP-38534a60 is 15.,Conduct regular due diligence on suppliers in high-risk countries to ensure compliance with local regulations and ethical business practices.,Active
RISK-b5f05d93,SUP-38534a60,Single Sourcing Risk,40.0,Single Sourcing Risk for supplier SUP-38534a60 is 40.0.,"Diversify suppliers to reduce reliance on single source, ensuring critical components are sourced from at least two additional vendors.",Active
RISK-2c512262,SUP-38534a60,Financial Health Risk,10.0,Financial Health Risk for supplier SUP-38534a60 is 10.,Conduct quarterly financial health assessments and enforce strict payment terms to mitigate high-risk suppliers scoring 10 in the financial health risk category.,Active
RISK-ba7f155f,SUP-38534a60,Spend Concentration Risk,0.0,Spend Concentration Risk for supplier SUP-38534a60 is 0.,Diversify vendor base to reduce dependency on any single supplier.,Active
RISK-7b4ac865,SUP-4b950367,Country Risk,15.0,Country Risk for supplier SUP-4b950367 is 15.,"Conduct thorough due diligence on suppliers in the high-risk country (score 15), including assessing political stability, regulatory compliance, and local business practices.",Active
RISK-dcd59b6c,SUP-4b950367,Single Sourcing Risk,0.0,Single Sourcing Risk for supplier SUP-4b950367 is 0.,Diversify suppliers to reduce dependency on single sources.,Active
RISK-ccd672c4,SUP-4b950367,Financial Health Risk,10.0,Financial Health Risk for supplier SUP-4b950367 is 10.,Conduct regular financial health assessments and diversify suppliers to reduce dependency on any single provider.,Active
RISK-22903ced,SUP-4b950367,Spend Concentration Risk,0.0,Spend Concentration Risk for supplier SUP-4b950367 is 0.,Implement stricter vendor approval processes and quarterly spend reviews to mitigate the concentration risk.,Active
RISK-1580fc5c,SUP-0e216cb8,Country Risk,15.0,Country Risk for supplier SUP-0e216cb8 is 15.,Conduct regular geopolitical assessments and diversify supply chains to reduce exposure.,Active
RISK-e651d0a4,SUP-0e216cb8,Single Sourcing Risk,0.0,Single Sourcing Risk for supplier SUP-0e216cb8 is 0.,Diversify suppliers to reduce dependency on single sources.,Active
RISK-82498c9f,SUP-0e216cb8,Financial Health Risk,0.0,Financial Health Risk for supplier SUP-0e216cb8 is 0.,Conduct quarterly financial health reviews to identify potential risks early and ensure suppliers maintain strong credit ratings.,Active
RISK-263909e2,SUP-0e216cb8,Spend Concentration Risk,0.0,Spend Concentration Risk for supplier SUP-0e216cb8 is 0.,Implement diversified procurement strategy across multiple vendors to reduce concentration risk.,Active
RISK-461a97fe,SUP-663221c7,Country Risk,0.0,Country Risk for supplier SUP-663221c7 is 0.,Maintain robust financial monitoring and diversify supply chain to mitigate country risk.,Active
RISK-4009b5ec,SUP-663221c7,Single Sourcing Risk,0.0,Single Sourcing Risk for supplier SUP-663221c7 is 0.,Diversify suppliers to reduce reliance on single source providers.,Active
RISK-390f335e,SUP-663221c7,Financial Health Risk,0.0,Financial Health Risk for supplier SUP-663221c7 is 0.,Develop a contingency plan.,Active
RISK-2abef422,SUP-663221c7,Spend Concentration Risk,0.0,Spend Concentration Risk for supplier SUP-663221c7 is 0.,Diversify suppliers to reduce concentration in spend beyond the current threshold.,Active
RISK-7d63e0e6,SUP-fa63be67,Country Risk,15.0,Country Risk for supplier SUP-fa63be67 is 15.,Conduct regular political risk assessments and diversify operations across multiple countries to mitigate country risk.,Active
RISK-eef4bea2,SUP-fa63be67,Single Sourcing Risk,0.0,Single Sourcing Risk for supplier SUP-fa63be67 is 0.,Develop a contingency plan.,Active
RISK-663ec1b6,SUP-fa63be67,Financial Health Risk,10.0,Financial Health Risk for supplier SUP-fa63be67 is 10.,Conduct quarterly financial health assessments and diversify suppliers to mitigate financial health risks.,Active
RISK-8e315213,SUP-fa63be67,Spend Concentration Risk,0.0,Spend Concentration Risk for supplier SUP-fa63be67 is 0.,Diversify suppliers to reduce concentration risk.,Active
RISK-012f473d,SUP-29dc6a25,Country Risk,15.0,Country Risk for supplier SUP-29dc6a25 is 15.,Diversify supply chain to reduce dependency on country with high risk score.,Active
RISK-57b09405,SUP-29dc6a25,Single Sourcing Risk,0.0,Single Sourcing Risk for supplier SUP-29dc6a25 is 0.,Diversify suppliers to reduce dependency on single sources.,Active
RISK-6f1d7acb,SUP-29dc6a25,Financial Health Risk,0.0,Financial Health Risk for supplier SUP-29dc6a25 is 0.,Conduct quarterly financial health assessments and diversify supply base to mitigate potential impacts from supplier financial instability.,Active
RISK-0c331f7e,SUP-29dc6a25,Spend Concentration Risk,0.0,Spend Concentration Risk for supplier SUP-29dc6a25 is 0.,Implement diversified purchasing contracts to spread spend concentration risks across multiple suppliers.,Active
RISK-07a8a83a,SUP-7e4f0578,Country Risk,15.0,Country Risk for supplier SUP-7e4f0578 is 15.,Diversify supply base across multiple countries to reduce reliance on high-risk regions.,Active
RISK-8431e76f,SUP-7e4f0578,Single Sourcing Risk,0.0,Single Sourcing Risk for supplier SUP-7e4f0578 is 0.,Diversify the supplier base to reduce dependency on a single source.,Active
RISK-1342a741,SUP-7e4f0578,Financial Health Risk,0.0,Financial Health Risk for supplier SUP-7e4f0578 is 0.,Conduct quarterly financial health assessments on the supplier to ensure solvency.,Active
RISK-0d11ed0e,SUP-7e4f0578,Spend Concentration Risk,0.0,Spend Concentration Risk for supplier SUP-7e4f0578 is 0.,Implement diversified vendor contracts to reduce spend concentration risk.,Active
RISK-e4e3633f,SUP-f1e8f0b0,Country Risk,15.0,Country Risk for supplier SUP-f1e8f0b0 is 15.,"Conduct regular country risk assessments to identify potential threats in the supplier's operating environment, ensuring compliance with local regulations, diversifying supply sources within the country, and enhancing security measures for employees.",Active
RISK-3968cd75,SUP-f1e8f0b0,Single Sourcing Risk,0.0,Single Sourcing Risk for supplier SUP-f1e8f0b0 is 0.,Diversify suppliers to reduce dependency on single sources and enhance supply chain resilience.,Active
RISK-9c4303ed,SUP-f1e8f0b0,Financial Health Risk,0.0,Financial Health Risk for supplier SUP-f1e8f0b0 is 0.,Regularly review financial statements and credit ratings to ensure the supplier remains solvent and financially stable.,Active
RISK-3c675241,SUP-f1e8f0b0,Spend Concentration Risk,0.0,Spend Concentration Risk for supplier SUP-f1e8f0b0 is 0.,Diversify suppliers to reduce spend concentration risk.,Active
RISK-d13d7250,SUP-44dc66f1,Country Risk,15.0,Country Risk for supplier SUP-44dc66f1 is 15.,Diversify supply chain by sourcing materials from alternative countries to reduce dependency on the high-risk country.,Active
RISK-3fc4f632,SUP-44dc66f1,Single Sourcing Risk,0.0,Single Sourcing Risk for supplier SUP-44dc66f1 is 0.,Diversify suppliers to reduce dependency on a single source.,Active
RISK-57c060b9,SUP-44dc66f1,Financial Health Risk,10.0,Financial Health Risk for supplier SUP-44dc66f1 is 10.,Conduct quarterly financial health assessments on suppliers to ensure their solvency and creditworthiness.,Active
RISK-87455abe,SUP-44dc66f1,Spend Concentration Risk,0.0,Spend Concentration Risk for supplier SUP-44dc66f1 is 0.,Implement diversified sourcing strategy to reduce dependence on single suppliers and enhance supply chain resilience.,Active
RISK-3523a331,SUP-4905db7d,Country Risk,0.0,Country Risk for supplier SUP-4905db7d is 0.,"Implement diversified sourcing strategy from multiple countries to reduce dependency on any single country, thereby mitigating the impact of potential country-specific risks.",Active
RISK-f9a12be0,SUP-4905db7d,Single Sourcing Risk,0.0,Single Sourcing Risk for supplier SUP-4905db7d is 0.,Diversify suppliers to reduce dependency on single sources.,Active
RISK-df4c8167,SUP-4905db7d,Financial Health Risk,10.0,Financial Health Risk for supplier SUP-4905db7d is 10.,Conduct quarterly financial audits and diversify funding sources to reduce financial health risks.,Active
RISK-95c225fc,SUP-4905db7d,Spend Concentration Risk,0.0,Spend Concentration Risk for supplier SUP-4905db7d is 0.,Diversify suppliers to reduce concentration risk by allocating procurement across multiple vendors.,Active
RISK-bfcdcfe3,SUP-62f0b8fc,Country Risk,15.0,Country Risk for supplier SUP-62f0b8fc is 15.,Diversify supply base to reduce exposure to country risks in the event of geopolitical instability.,Active
RISK-1fbe8c1f,SUP-62f0b8fc,Single Sourcing Risk,0.0,Single Sourcing Risk for supplier SUP-62f0b8fc is 0.,Develop a contingency plan.,Active
RISK-ad53d849,SUP-62f0b8fc,Financial Health Risk,0.0,Financial Health Risk for supplier SUP-62f0b8fc is 0.,Conduct regular financial health assessments and diversify suppliers to reduce dependency on any single vendor.,Active
RISK-efae88b3,SUP-62f0b8fc,Spend Concentration Risk,0.0,Spend Concentration Risk for supplier SUP-62f0b8fc is 0.,Diversify suppliers to reduce spend concentration risk.,Active
RISK-9e5f080e,SUP-0e44e636,Country Risk,0.0,Country Risk for supplier SUP-0e44e636 is 0.,Monitor local political stability and regulatory changes to ensure compliance and minimize exposure.,Active
RISK-9b8a8e3d,SUP-0e44e636,Single Sourcing Risk,0.0,Single Sourcing Risk for supplier SUP-0e44e636 is 0.,Diversify suppliers to reduce dependency on any single source.,Active
RISK-6d794e5b,SUP-0e44e636,Financial Health Risk,25.0,Financial Health Risk for supplier SUP-0e44e636 is 25.,Conduct quarterly financial health assessments and maintain diversified supplier base to reduce financial health risks.,Active
RISK-1e5d9b41,SUP-0e44e636,Spend Concentration Risk,0.0,Spend Concentration Risk for supplier SUP-0e44e636 is 0.,Diversify suppliers to reduce spend concentration risk.,Active
RISK-d1a5d1e1,SUP-30b9dc45,Country Risk,0.0,Country Risk for supplier SUP-30b9dc45 is 0.,Monitor local political stability and regulatory changes in the supplier country to ensure ongoing compliance and minimize exposure.,Active
RISK-0cdd86f7,SUP-30b9dc45,Single Sourcing Risk,0.0,Single Sourcing Risk for supplier SUP-30b9dc45 is 0.,Diversify suppliers to reduce reliance on any single source.,Active
RISK-569ea474,SUP-30b9dc45,Financial Health Risk,0.0,Financial Health Risk for supplier SUP-30b9dc45 is 0.,Conduct quarterly financial health reviews to identify and address any deteriorations in the supplier's creditworthiness.,Active
RISK-6cfee297,SUP-30b9dc45,Spend Concentration Risk,0.0,Spend Concentration Risk for supplier SUP-30b9dc45 is 0.,Implement diversified sourcing strategy to reduce reliance on single suppliers.,Active
RISK-d6ce462e,SUP-e8d4c4ba,Country Risk,0.0,Country Risk for supplier SUP-e8d4c4ba is 0.,Conduct regular geopolitical assessments to ensure business operations align with stable regional developments and mitigate any potential risks associated with the country.,Active
RISK-b2694d9a,SUP-e8d4c4ba,Single Sourcing Risk,0.0,Single Sourcing Risk for supplier SUP-e8d4c4ba is 0.,Diversify suppliers to reduce dependency on single source providers.,Active
RISK-0b3808b1,SUP-e8d4c4ba,Financial Health Risk,25.0,Financial Health Risk for supplier SUP-e8d4c4ba is 25.,Conduct quarterly financial health assessments and diversify supply chain to reduce dependency on high-risk suppliers.,Active
RISK-06973f5f,SUP-e8d4c4ba,Spend Concentration Risk,0.0,Spend Concentration Risk for supplier SUP-e8d4c4ba is 0.,Diversify suppliers to reduce spend concentration risk.,Active
RISK-c2da157e,SUP-b6ca81d4,Country Risk,15.0,Country Risk for supplier SUP-b6ca81d4 is 15.,Conduct thorough due diligence on suppliers operating in high-risk countries to ensure compliance with ethical standards and regulatory requirements.,Active
RISK-23edb1c5,SUP-b6ca81d4,Single Sourcing Risk,0.0,Single Sourcing Risk for supplier SUP-b6ca81d4 is 0.,Diversify suppliers to reduce dependency on a single source.,Active
RISK-770c5400,SUP-b6ca81d4,Financial Health Risk,0.0,Financial Health Risk for supplier SUP-b6ca81d4 is 0.,Conduct quarterly financial health assessments and diversify suppliers to reduce dependency on any single vendor.,Active
RISK-e30e9a36,SUP-b6ca81d4,Spend Concentration Risk,0.0,Spend Concentration Risk for supplier SUP-b6ca81d4 is 0.,Diversify suppliers to reduce spend concentration risk.,Active
RISK-2338a53d,SUP-5b0cd920,Country Risk,15.0,Country Risk for supplier SUP-5b0cd920 is 15.,Conduct comprehensive due diligence on the supplier's operations in the high-risk country to identify potential exposure and implement additional controls such as diversifying supply chains and enhancing local compliance measures.,Active
RISK-1180ce9c,SUP-5b0cd920,Single Sourcing Risk,0.0,Single Sourcing Risk for supplier SUP-5b0cd920 is 0.,Develop a contingency plan.,Active
RISK-18706f2f,SUP-5b0cd920,Financial Health Risk,10.0,Financial Health Risk for supplier SUP-5b0cd920 is 10.,Conduct regular financial health assessments and maintain diversified supply sources to reduce exposure.,Active
RISK-505934d1,SUP-5b0cd920,Spend Concentration Risk,0.0,Spend Concentration Risk for supplier SUP-5b0cd920 is 0.,Implement a diversified purchasing strategy across multiple suppliers to reduce spend concentration risk.,Active
RISK-f9f2bd6a,SUP-63422aea,Country Risk,15.0,Country Risk for supplier SUP-63422aea is 15.,Enhance local regulatory compliance audits and establish emergency response protocols in the event of political instability.,Active
RISK-244e76ae,SUP-63422aea,Single Sourcing Risk,0.0,Single Sourcing Risk for supplier SUP-63422aea is 0.,Diversify supply chain to reduce reliance on single source.,Active
RISK-e89584bd,SUP-63422aea,Financial Health Risk,0.0,Financial Health Risk for supplier SUP-63422aea is 0.,Conduct quarterly financial health reviews to ensure the supplier maintains strong cash flow and solvency.,Active
RISK-4152cbd6,SUP-63422aea,Spend Concentration Risk,0.0,Spend Concentration Risk for supplier SUP-63422aea is 0.,Diversify suppliers to reduce dependency on single vendors.,Active
RISK-65d2b5b2,SUP-8fec7c70,Country Risk,15.0,Country Risk for supplier SUP-8fec7c70 is 15.,Conduct thorough due diligence on suppliers in high-risk countries to assess compliance risks and diversify supply chains.,Active
RISK-1a9c9198,SUP-8fec7c70,Single Sourcing Risk,0.0,Single Sourcing Risk for supplier SUP-8fec7c70 is 0.,Diversify supply base to reduce dependency on a single source.,Active
RISK-f4776368,SUP-8fec7c70,Financial Health Risk,0.0,Financial Health Risk for supplier SUP-8fec7c70 is 0.,Conduct quarterly credit checks and diversify the supplier base to minimize financial health risks.,Active
RISK-8ca309d5,SUP-8fec7c70,Spend Concentration Risk,0.0,Spend Concentration Risk for supplier SUP-8fec7c70 is 0.,Diversify spending across multiple suppliers to reduce concentration risk.,Active
RISK-b713b2ca,SUP-4f6cf017,Country Risk,0.0,Country Risk for supplier SUP-4f6cf017 is 0.,Enhance local compliance monitoring to mitigate the low country risk score.,Active
RISK-9da5ea25,SUP-4f6cf017,Single Sourcing Risk,0.0,Single Sourcing Risk for supplier SUP-4f6cf017 is 0.,Develop a contingency plan.,Active
RISK-f9fe6900,SUP-4f6cf017,Financial Health Risk,25.0,Financial Health Risk for supplier SUP-4f6cf017 is 25.,Conduct quarterly financial health assessments to ensure suppliers maintain strong credit ratings and liquidity positions.,Active
RISK-0ef95fa5,SUP-4f6cf017,Spend Concentration Risk,0.0,Spend Concentration Risk for supplier SUP-4f6cf017 is 0.,Implement real-time spend monitoring to promptly identify concentration risks.,Active
RISK-58565822,SUP-dc610d61,Country Risk,15.0,Country Risk for supplier SUP-dc610d61 is 15.,Conduct regular risk assessments and implement diversified sourcing strategies to mitigate potential country risks.,Active
RISK-aef6370a,SUP-dc610d61,Single Sourcing Risk,0.0,Single Sourcing Risk for supplier SUP-dc610d61 is 0.,Diversify suppliers to reduce dependency on any single source.,Active
RISK-5e8d319a,SUP-dc610d61,Financial Health Risk,0.0,Financial Health Risk for supplier SUP-dc610d61 is 0.,"Conduct quarterly financial health assessments to monitor the supplier's liquidity, solvency, and debt levels.",Active
RISK-b96ccf40,SUP-dc610d61,Spend Concentration Risk,0.0,Spend Concentration Risk for supplier SUP-dc610d61 is 0.,Diversify suppliers to reduce reliance on any single provider.,Active
RISK-1a632e4c,SUP-76010e19,Country Risk,0.0,Country Risk for supplier SUP-76010e19 is 0.,Enhance local market intelligence and establish diversified supply chains to reduce exposure.,Active
