employee_id,skill_id,proficiency_level,years_of_experience
EMP0048,SKILL044,Advanced,3.5
EMP0048,SKILL015,Advanced,3.6
EMP0049,SKILL045,Intermediate,2.1
EMP0049,SKILL015,Expert,8.3
EMP0049,SKILL032,Expert,3.0
EMP0049,SKILL023,Advanced,6.0
EMP0049,SKILL016,Advanced,7.2
EMP0049,SKILL021,Advanced,5.4
EMP0049,SKILL007,Expert,7.9
EMP0049,SKILL010,Advanced,8.1
EMP0049,SKILL011,Advanced,1.9
EMP0049,SKILL008,Advanced,6.9
EMP0049,SKILL001,Expert,3.2
EMP0049,SKILL017,Beginner,0.7
EMP0050,SKILL046,Advanced,4.4
EMP0050,SKILL033,Advanced,6.4
EMP0050,SKILL020,Expert,6.2
EMP0050,SKILL031,Advanced,5.0
EMP0050,SKILL034,Expert,6.1
EMP0050,SKILL029,Intermediate,1.0
EMP0051,SKILL020,Intermediate,4.0
EMP0051,SKILL034,Intermediate,5.0
EMP0051,SKILL029,Advanced,5.0
EMP0051,SKILL033,Intermediate,5.1
EMP0051,SKILL035,Intermediate,1.6
EMP0052,SKILL003,Intermediate,3.6
EMP0052,SKILL006,Intermediate,4.8
EMP0052,SKILL011,Intermediate,1.4
EMP0052,SKILL043,Advanced,3.2
EMP0052,SKILL012,Intermediate,2.7
EMP0052,SKILL045,Advanced,3.5
EMP0053,SKILL045,Advanced,3.1
EMP0053,SKILL038,Intermediate,2.4
EMP0053,SKILL039,Intermediate,3.2
EMP0053,SKILL018,Expert,3.2
EMP0053,SKILL029,Beginner,0.9
EMP0053,SKILL024,Advanced,3.3
EMP0053,SKILL028,Beginner,0.9
EMP0053,SKILL020,Intermediate,1.6
EMP0054,SKILL035,Advanced,3.7
EMP0054,SKILL023,Advanced,5.7
EMP0054,SKILL045,Expert,4.1
EMP0054,SKILL024,Expert,5.6
EMP0054,SKILL027,Advanced,5.2
EMP0054,SKILL031,Advanced,2.2
EMP0054,SKILL029,Beginner,0.8
EMP0054,SKILL020,Expert,4.5
EMP0054,SKILL034,Advanced,4.7
EMP0054,SKILL032,Advanced,5.5
EMP0055,SKILL023,Intermediate,0.9
EMP0055,SKILL024,Advanced,2.0
EMP0055,SKILL028,Advanced,1.5
EMP0055,SKILL029,Intermediate,2.6
EMP0055,SKILL039,Advanced,3.3
EMP0055,SKILL038,Advanced,5.3
EMP0056,SKILL021,Intermediate,1.4
EMP0056,SKILL015,Advanced,2.2
EMP0056,SKILL017,Expert,9.0
EMP0056,SKILL002,Advanced,4.5
EMP0056,SKILL010,Intermediate,5.9
EMP0056,SKILL006,Intermediate,3.5
EMP0056,SKILL013,Beginner,0.6
EMP0057,SKILL045,Advanced,5.5
EMP0057,SKILL038,Advanced,3.0
EMP0057,SKILL039,Intermediate,0.6
EMP0057,SKILL024,Expert,3.7
EMP0057,SKILL020,Beginner,0.6
EMP0057,SKILL050,Beginner,0.7
EMP0057,SKILL029,Intermediate,2.2
EMP0057,SKILL018,Intermediate,2.6
EMP0057,SKILL028,Advanced,2.5
EMP0058,SKILL043,Advanced,5.4
EMP0058,SKILL025,Intermediate,2.7
EMP0058,SKILL016,Expert,6.8
EMP0058,SKILL021,Intermediate,4.3
EMP0058,SKILL003,Advanced,4.6
EMP0058,SKILL001,Expert,7.0
EMP0058,SKILL023,Intermediate,1.1
EMP0058,SKILL027,Expert,3.3
EMP0059,SKILL045,Advanced,3.6
EMP0059,SKILL035,Intermediate,2.2
EMP0059,SKILL031,Intermediate,1.4
EMP0059,SKILL033,Beginner,2.3
EMP0059,SKILL029,Advanced,2.6
EMP0059,SKILL024,Expert,3.4
EMP0060,SKILL043,Advanced,2.7
EMP0060,SKILL010,Beginner,0.9
EMP0060,SKILL002,Advanced,1.3
EMP0060,SKILL026,Advanced,8.6
EMP0060,SKILL001,Advanced,9.7
EMP0060,SKILL016,Advanced,7.3
EMP0060,SKILL014,Advanced,8.0
EMP0060,SKILL011,Advanced,3.0
EMP0060,SKILL015,Expert,7.3
EMP0060,SKILL003,Advanced,5.6
EMP0060,SKILL044,Advanced,8.2
EMP0060,SKILL007,Advanced,3.5
EMP0061,SKILL029,Advanced,5.8
EMP0061,SKILL020,Expert,6.1
EMP0061,SKILL038,Intermediate,0.7
EMP0061,SKILL039,Intermediate,1.2
EMP0061,SKILL028,Advanced,3.4
EMP0061,SKILL024,Intermediate,1.2
EMP0062,SKILL015,Intermediate,1.1
EMP0062,SKILL025,Beginner,2.3
EMP0062,SKILL002,Beginner,0.9
EMP0062,SKILL007,Intermediate,2.3
EMP0062,SKILL026,Beginner,0.6
EMP0062,SKILL006,Beginner,0.9
EMP0062,SKILL045,Intermediate,1.2
EMP0062,SKILL021,Beginner,0.9
EMP0063,SKILL029,Advanced,7.6
EMP0063,SKILL035,Advanced,5.8
EMP0063,SKILL023,Advanced,4.7
EMP0063,SKILL048,Expert,5.4
EMP0063,SKILL034,Advanced,3.3
EMP0063,SKILL045,Expert,8.7
EMP0063,SKILL031,Expert,3.1
EMP0063,SKILL020,Intermediate,2.4
EMP0063,SKILL032,Intermediate,4.6
EMP0063,SKILL033,Intermediate,1.6
EMP0063,SKILL027,Expert,6.2
EMP0064,SKILL021,Intermediate,4.4
EMP0064,SKILL027,Expert,3.5
EMP0064,SKILL011,Intermediate,2.4
EMP0064,SKILL015,Advanced,2.3
EMP0064,SKILL025,Advanced,1.1
EMP0064,SKILL043,Advanced,2.9
EMP0064,SKILL009,Intermediate,1.8
EMP0064,SKILL023,Advanced,2.8
EMP0064,SKILL014,Advanced,4.6
EMP0064,SKILL026,Advanced,3.7
EMP0064,SKILL006,Intermediate,0.6
EMP0064,SKILL002,Beginner,0.9
EMP0065,SKILL026,Advanced,4.2
EMP0065,SKILL045,Advanced,2.8
EMP0065,SKILL007,Expert,7.4
EMP0065,SKILL025,Advanced,8.6
EMP0065,SKILL015,Intermediate,1.0
EMP0065,SKILL002,Advanced,4.2
EMP0065,SKILL027,Expert,4.4
EMP0066,SKILL035,Expert,5.4
EMP0066,SKILL050,Beginner,0.6
EMP0066,SKILL034,Intermediate,1.9
EMP0066,SKILL027,Advanced,3.5
EMP0066,SKILL033,Beginner,2.1
EMP0066,SKILL023,Advanced,5.9
EMP0066,SKILL029,Advanced,5.4
EMP0066,SKILL032,Advanced,5.3
EMP0066,SKILL020,Beginner,1.9
EMP0067,SKILL020,Expert,5.1
EMP0067,SKILL035,Intermediate,4.0
EMP0067,SKILL033,Intermediate,1.0
EMP0067,SKILL034,Intermediate,3.0
EMP0067,SKILL029,Beginner,1.5
EMP0067,SKILL024,Advanced,1.6
EMP0068,SKILL024,Beginner,0.9
EMP0068,SKILL045,Intermediate,1.2
EMP0068,SKILL020,Expert,3.2
EMP0068,SKILL039,Intermediate,2.1
EMP0068,SKILL028,Advanced,3.4
EMP0068,SKILL029,Intermediate,2.7
EMP0069,SKILL046,Expert,6.9
EMP0069,SKILL028,Beginner,0.7
EMP0069,SKILL020,Advanced,4.0
EMP0069,SKILL045,Intermediate,1.6
EMP0069,SKILL024,Advanced,1.4
EMP0069,SKILL039,Advanced,7.4
EMP0069,SKILL018,Beginner,2.0
EMP0070,SKILL028,Expert,5.4
EMP0070,SKILL039,Expert,8.0
EMP0070,SKILL045,Expert,3.9
EMP0070,SKILL018,Intermediate,2.3
EMP0070,SKILL020,Advanced,5.3
EMP0070,SKILL038,Expert,8.7
EMP0071,SKILL007,Intermediate,1.7
EMP0071,SKILL003,Beginner,2.3
EMP0071,SKILL026,Advanced,3.7
EMP0071,SKILL011,Advanced,4.0
EMP0071,SKILL013,Advanced,3.4
EMP0071,SKILL014,Advanced,2.3
EMP0071,SKILL015,Expert,3.0
EMP0071,SKILL043,Advanced,3.8
EMP0071,SKILL044,Intermediate,1.8
EMP0071,SKILL025,Advanced,3.7
EMP0071,SKILL010,Intermediate,1.9
EMP0071,SKILL001,Intermediate,2.4
EMP0072,SKILL029,Advanced,4.4
EMP0072,SKILL033,Advanced,1.5
EMP0072,SKILL035,Intermediate,1.9
EMP0072,SKILL034,Intermediate,1.1
EMP0072,SKILL024,Advanced,1.2
EMP0072,SKILL020,Intermediate,3.0
EMP0073,SKILL023,Advanced,3.2
EMP0073,SKILL032,Advanced,5.5
EMP0073,SKILL020,Beginner,1.5
EMP0073,SKILL024,Beginner,2.0
EMP0073,SKILL033,Advanced,4.4
EMP0073,SKILL035,Beginner,0.8
EMP0073,SKILL034,Expert,5.1
EMP0073,SKILL031,Advanced,1.8
EMP0073,SKILL045,Intermediate,2.7
EMP0073,SKILL027,Expert,8.4
EMP0073,SKILL029,Beginner,1.5
EMP0074,SKILL023,Advanced,2.9
EMP0074,SKILL027,Beginner,1.2
EMP0074,SKILL029,Intermediate,1.3
EMP0074,SKILL045,Advanced,5.4
EMP0074,SKILL018,Expert,6.0
EMP0074,SKILL038,Expert,5.9
EMP0074,SKILL032,Intermediate,2.7
EMP0074,SKILL020,Expert,4.6
EMP0074,SKILL028,Intermediate,2.0
EMP0074,SKILL024,Advanced,5.4
EMP0075,SKILL003,Advanced,1.7
EMP0075,SKILL045,Beginner,0.8
EMP0075,SKILL026,Intermediate,4.1
EMP0075,SKILL015,Intermediate,3.9
EMP0075,SKILL012,Expert,5.6
EMP0075,SKILL011,Expert,4.9
EMP0075,SKILL025,Intermediate,5.2
EMP0076,SKILL027,Advanced,5.3
EMP0076,SKILL045,Expert,4.6
EMP0076,SKILL039,Expert,3.7
EMP0076,SKILL048,Beginner,2.3
EMP0076,SKILL028,Expert,5.4
EMP0076,SKILL023,Intermediate,2.5
EMP0076,SKILL029,Intermediate,4.1
EMP0076,SKILL024,Advanced,3.4
EMP0076,SKILL032,Expert,4.3
EMP0076,SKILL018,Intermediate,2.7
EMP0077,SKILL028,Advanced,4.2
EMP0077,SKILL024,Intermediate,2.3
EMP0077,SKILL039,Expert,3.5
EMP0077,SKILL027,Expert,6.9
EMP0077,SKILL032,Intermediate,2.0
EMP0078,SKILL035,Advanced,4.6
EMP0078,SKILL027,Advanced,10.5
EMP0078,SKILL023,Advanced,3.4
EMP0078,SKILL033,Advanced,7.1
EMP0078,SKILL020,Intermediate,0.5
EMP0078,SKILL032,Advanced,6.8
EMP0078,SKILL031,Beginner,1.6
EMP0078,SKILL034,Advanced,7.8
EMP0078,SKILL049,Advanced,9.9
EMP0078,SKILL024,Advanced,3.6
EMP0079,SKILL020,Expert,7.0
EMP0079,SKILL045,Beginner,1.7
EMP0079,SKILL039,Expert,7.9
EMP0079,SKILL024,Advanced,2.2
EMP0079,SKILL029,Advanced,8.3
EMP0079,SKILL018,Intermediate,4.0
EMP0079,SKILL028,Intermediate,1.1
EMP0080,SKILL045,Intermediate,3.8
EMP0080,SKILL035,Advanced,3.9
EMP0080,SKILL032,Advanced,4.5
EMP0080,SKILL031,Advanced,3.0
EMP0080,SKILL033,Advanced,3.1
EMP0080,SKILL027,Advanced,3.1
EMP0081,SKILL043,Intermediate,1.3
EMP0081,SKILL011,Expert,6.0
EMP0081,SKILL021,Intermediate,2.9
EMP0081,SKILL016,Advanced,4.7
EMP0081,SKILL025,Intermediate,2.4
EMP0081,SKILL003,Advanced,1.6
EMP0081,SKILL001,Advanced,6.8
EMP0081,SKILL010,Expert,6.4
EMP0081,SKILL026,Beginner,1.1
EMP0081,SKILL013,Advanced,4.3
EMP0081,SKILL012,Advanced,4.9
EMP0082,SKILL013,Intermediate,2.2
EMP0082,SKILL015,Beginner,2.9
EMP0082,SKILL021,Beginner,0.6
EMP0082,SKILL026,Beginner,0.9
EMP0082,SKILL003,Intermediate,1.9
EMP0082,SKILL014,Advanced,3.2
EMP0082,SKILL045,Intermediate,0.9
EMP0082,SKILL007,Expert,3.8
EMP0082,SKILL025,Intermediate,2.7
EMP0083,SKILL045,Advanced,3.1
EMP0083,SKILL004,Expert,6.8
EMP0083,SKILL007,Expert,9.1
EMP0083,SKILL003,Advanced,3.7
EMP0083,SKILL025,Intermediate,2.8
EMP0083,SKILL010,Advanced,6.0
EMP0083,SKILL009,Advanced,3.0
EMP0083,SKILL044,Intermediate,2.7
EMP0083,SKILL017,Expert,8.3
EMP0083,SKILL011,Intermediate,2.3
EMP0083,SKILL001,Advanced,7.2
EMP0084,SKILL034,Beginner,1.6
EMP0084,SKILL032,Intermediate,2.6
EMP0084,SKILL031,Advanced,3.0
EMP0084,SKILL020,Intermediate,2.0
EMP0084,SKILL024,Advanced,5.7
EMP0084,SKILL027,Advanced,1.9
EMP0084,SKILL035,Beginner,0.6
EMP0084,SKILL045,Intermediate,1.4
EMP0085,SKILL021,Beginner,0.6
EMP0085,SKILL045,Intermediate,0.6
EMP0085,SKILL011,Intermediate,1.8
EMP0085,SKILL007,Intermediate,1.7
EMP0085,SKILL004,Intermediate,1.5
EMP0085,SKILL043,Expert,4.2
EMP0085,SKILL015,Intermediate,1.2
EMP0085,SKILL009,Expert,3.2
